id	看板娘id	建筑id	背景图	人物路径	人物待机动作	选择后动作1	选择后动作2	选择后动作3	邀请剧本id	邀请剧本编号id	约定剧本id	失败剧本id1	失败剧本id2	回应选项	人物台词
id	roleId	buildingId	backGround	roleModelId	idle	action1	action2	action3	inviteScriptId	inviteId	reserveScriptId	failScriptId1	failScriptId2	answer	lines
number	number	number	string	string	string	string	string	string	number	number	number	number	number	json	numbers
int	int	int							int	int	int	int	int	map	
1	101	1	scene/bg/bg_jiaoshi.png	10104	id3	id3_1	id4_6	id4_5	2201001	5100001	2301001	2401001	2501001	{1: { "type": 1,"word": "900001","mood": 10,"favor": 5},2: {"type": 0,"word": "900002","mood": -10,"favor": -10},3: {"type": 0,"word": "900003","mood": -30,"favor": -30}}	900063-900064-900065-900066-900067-900068-900069-900070-900071
2	101	4	scene/bg/bg_jiaoshi.png	10104	id3	id3_1	id4_6	id4_5	2201002	54100001	2301002	2401001	2501001	{1: { "type": 0,"word": "900135","mood": -10,"favor": -10},2: {"type": 1,"word": "900136","mood": 10,"favor": 5},3: {"type": 0,"word": "900137","mood": -30,"favor": -30}}	900072-900073-900074-900075-900076-900077-900078-900079-900080
3	102	1	scene/bg/bg_gongyuan.png	10204	id3	id3_5	id3_6	id3_6	2202001	38100001	2302001	2402001	2502001	{1: { "type": 0,"word": "900144","mood": -10,"favor": -10},2: {"type": 0,"word": "900145","mood": -30,"favor": -30},3: {"type": 1,"word": "900146","mood": 10,"favor": 5}}	900081-900082-900083-900084-900085-900086-900087-900088-900089
4	102	4	scene/bg/bg_jiejiao.png	10204	id3	id3_5	id3_6	id3_6	2202002	42100001	2302002	2402002	2502002	{1: { "type": 1,"word": "900147","mood": 10,"favor": 5},2: {"type": 0,"word": "900148","mood": -10,"favor": -10},3: {"type": 0,"word": "900149","mood": -30,"favor": -30}}	900090-900091-900092-900093-900094-900095-900096-900097-900098
5	103	1	scene/bg/bg_keting.png	10303	id3	id3_5	id3_6	id3_6	2203001	56100001	2303001	2403001	2403001	{1: { "type": 0,"word": "900138","mood": -10,"favor": -10},2: {"type": 1,"word": "900139","mood": 10,"favor": 5},3: {"type": 0,"word": "900140","mood": -30,"favor": -30}}	900099-900100-900101-900102-900103-900104-900105-900106-900107
6	103	4	scene/bg/bg_wanoudian1.png	10303	id3	id3_5	id3_6	id3_6	2203002	59100001	2303002	2403001	2403001	{1: { "type": 0,"word": "900141","mood": -10,"favor": -10},2: {"type": 1,"word": "900142","mood": 10,"favor": 5},3: {"type": 0,"word": "900143","mood": -30,"favor": -30}}	900108-900109-900110-900111-900112-900113-900114-900115-900116
7	104	1	scene/bg/bg_gongyuan.png	10404	id3	id3_5	id3_6	id3_6	2204001	46100001	2304001	2404001	2504001	{1: { "type": 0,"word": "900151","mood": -10,"favor": -10},2: {"type": 1,"word": "900150","mood": 10,"favor": 5},3: {"type": 0,"word": "900152","mood": -30,"favor": -30}}	900117-900118-900119-900120-900121-900122-900123-900124-900125
8	104	4	scene/bg/bg_jiejiao.png	10404	id3	id3_5	id3_6	id3_6	2204002	50100001	2304002	2404002	2504002	{1: { "type": 1,"word": "900154","mood": 10,"favor": 5},2: {"type": 1,"word": "900153","mood": 10,"favor": 5},3: {"type": 0,"word": "900155","mood": -30,"favor": -30}}	900126-900127-900128-900129-900130-900131-900132-900133-900134
