id	剧本id	播放顺序	所属关卡（策划用）	使用文本框(31:旁白普通框;11:左普通框;12:左爆炸框;22:右爆炸框)	发言人	语言包文本信息	语言特效ID（预留）	左头像ID	左头像镜像(0:否;1:是)	左是否高亮	左头像动作	右头像ID	右头像镜像(0:否;1:是)	右是否高亮	左头像动作	镜头动作(瞬时)	镜头效果(持续)	自动关闭对话框(毫秒)	音效	背景是否置灰
id	scriptId	order	desc	textBg	name	text	effect	headL	headMirrorL	isSpeakingL	actionL	headR	headMirrorR	isSpeakingR	actionR	cameraAction	cameraAction2	autoShutTime	voice	showBG
number	number	number	comment	number	string	json	string	string	boolean	boolean	number	string	boolean	boolean	number	number	number	number	string	number
int	int	int																		
1	1995	1	1-1-1开场动画中	11	无名少女	[{"text":"为什么，为什么要攻击我！","speed":10}]		10101_b2		1		10201_b1	1						BP_01_Tohka1	
2	1995	2		21	鸢一折纸	[{"text":"因为你是精灵，不应该存在于这个世界！","speed":10}]		10101_b1				10201_f1	1	1					BP_01_Tobiichi1	
3	1998	1	1-1-1开场动画结束	21	鸢一折纸	[{"text":"嘁！……","speed":10}]		10101_a1				10201_f1	1	1					ORIGAMI_108	1
4	1998	2		11	无名少女	[{"text":"不能存在于这个世界？为什么？回答我的问题！","speed":10}]		10101_a2		1		10201_b1	1							1
5	1998	3		22	日下部燎子	[{"text":"折纸！支援已经赶到了，你先退下来！","speed":10}]		10101_a1				30201_b2	1	1					BP_S_Ryoko	1
6	1999	1	1-1-1第一波小怪	21	日下部燎子	[{"text":"目标靠的太近了，A队，准备展开接近战！"}]						30201_b1	1	1						
7	1999	2		22	AST队员	[{"text":"是！"}]						20101_a2	1	1					BP_02_ast10	
8	1001	1	1-1-1BOSS出现	11	无名少女	[{"text":"哼，早就说过这种东西对我是没用的。","speed":10}]		10101_b1		1		10201_b1	1						TOUKA_230	1
9	1001	2		21	机甲少女	[{"text":"哪怕只有百万分之一的概率","speed":10}]		10101_b1				10201_f1	1	1						1
10	1001	3		21	机甲少女	[{"text":"只要能杀死你，我也会不断尝试。","speed":10}]		10101_b1				10201_f1	1	1						1
11	1001	4		12	无名少女	[{"text":"吵死了！真是个难缠的家伙。","speed":10}]		10101_b2		1		10201_f1	1							1
12	1002	1	1-1-3开场	11	十香	[{"text":"又是你吗？","speed":10}]		10101_b1		1		10201_b1	1						BP_01_Tohka3	1
13	1002	2		21	鸢一折纸	[{"text":"居然把 %s 当做人质，不可原谅！","speed":10}]		10101_a1		1		10201_f1	1	1					BP_01_Tobiichi2	1
14	1002	3		21	日下部燎子	[{"text":"折纸，找到人质带他离开！其他人，拖住精灵！","speed":10}]						30201_b1	1	1					BP_01_Ryoko1	1
15	1002	4		21	鸢一折纸	[{"text":"了解。","speed":10}]						10201_b2	1	1					BP_01_Tobiichi3	
16	1996	1		12	十香	[{"text":"站住！你们要对 %s 做什么？","speed":10}]		10101_b2		1										
17	1997	1	1-1-5过场	11	十香	[{"text":"够了，把 %s 交出来！","speed":10}]		10101_b2		1										
18	1997	2		22	日下部燎子	[{"text":"折纸！还没有找到人吗！","speed":10}]		10101_b1				30201_b2	1	1						
19	1997	3		21	折纸	[{"text":"不行……检测不到任何反应。","speed":10}]		10101_b1				10201_b1	1	1						
20	1997	4		21	日下部燎子	[{"text":"什么情况？……既然如此，集中精力对付精灵吧！","speed":10}]						30201_b1	1	1						
21	1003	1	1-1-4BOSS战打到一半	11	十香	[{"text":"哼，你还是住手吧，已经伤成这样了。","speed":10}]		10101_a2		1		10201_b1	1						BP_01_Tohka4	1
22	1003	2		22	鸢一折纸	[{"text":"只要能够消灭你！","speed":10}]		10101_a1				10201_f1	1	1					BP_01_Tobiichi4	1
23	1003	3		11	十香	[{"text":"哼，不自量力！","speed":10}]		10101_b1		1		10201_f1	1						BP_01_Tohka5	1
24	1003	4		21	日下部燎子	[{"text":"折纸！","speed":10,"delay":800},{"text":"可恶……目标已被引导至指定位置！A队，支援折纸！","speed":10}]						30201_b2	1	1					BP_01_Ryoko3	1
25	1004	1	1-1-4结束1	22	十香	[{"text":"比起与你们刀刃相向，还是和 %s 聊天更有趣。再会吧。","speed":10}]						10101_a1	1	1					BP_01_Tohka6	1
26	1004	2		11	鸢一折纸	[{"text":"不要跑！………咳咳………","speed":10}]		10201_g		1									BP_01_Tobiichi5	1
27	1005	1	1-1-4结束2	21	AST队员	[{"text":"报告队长，目标的反应消失了！","speed":10}]						20101_a2	0	1						1
28	1005	2		11	日下部燎子	[{"text":"………收队！","speed":10}]		30201_a2		1		20101_a2	0						BP_01_Ryoko4	1
29	1006	1	1-1-4结束3	22	日下部燎子	[{"text":"折纸，你这样战斗迟早有一天会死的。","speed":10}]						30201_b1	1	1					BP_01_Ryoko5	1
