id	离散数据	描述
id	data	describle
number	json	comment
int	Map	
1001	{"ui_clickSound":"sound/ui/ui_click.mp3"}	通用点击音效
1002	{"ui_closeSound":"sound/ui/ui_close.mp3"}	通用关闭窗口音效
1003	{"ui_flipSound":"sound/ui/ui_flip.mp3"}	通用滑动条音效
1004	{"ui_returnSound":"sound/ui/ui_return.mp3"}	通用返回音效
2001	{"date_optionSound":"sound/ui/ui_option.mp3"}	约会功能，文字选项弹出音效
2002	{"date_confirmSound":"sound/ui/ui_confirm.mp3"}	约会功能，点击确认选项音效
2003	{"list":[{"ceiling":100,"floor":90,"min":-30,"max":-20},{"ceiling":90,"floor":80,"min":-25,"max":-10},{"ceiling":80,"floor":60,"min":-20,"max":5},{"ceiling":60,"floor":40,"min":-10,"max":10},{"ceiling":40,"floor":0,"min":-5,"max":20}]}	精灵心情值规则
2005	{"ceiling":{"mood":100,"ratio":0},"floor":{"mood":40,"ratio":0}}	心情-对好感度影响规则
3001	{"Hero":{"min":100000,"max":199999},"Dress":{"min":400000,"max":499999},"Item":{"min":500000,"max":699999},"Equipment":{"min":200000,"max":299999},"ItemTime":{"min":2000000,"max":2999999},"HeroSkin":{"min":1100000,"max":1200000},"Room":{"min":710000,"max":799999}}	资源表ID分段配置
3002	{1:0,2:999,3:999,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0}	背包分类及上限配置
3003	{"playerLevel":1,"playerExp":0,"playerVipLevel":0,"playerVipExp":0,"mainLine":0,"goods":{500001:1000,500002:500,110101:1,710001:1}}	玩家初始化数据
3004	{"max":200,"autoEnterPercent":80}	聊天房间大小和自动进入的最大限制
3005	{"rarityzl":[180,240,320,420,540,680,800],"herolvlzl":[1,2,3,4,5,6,7],"growupzl":[0,40,80,120,160,200,240,280,320,360,400],"equipzl":[30,60,90,120,150],"equiplvlzl":[1,1,2,2,3],"angelzl":[0,50,100,150,200,300],"angelpoint":2,"passivezl":[0,200,400,600,800]}	战力参数
4001	{"price":{2:{500001:100},3:{500001:500},4:{500001:2000},5:{500001:10000}}}	灵装洗练消耗基数
4002	{"ratio":30000}	质点强化金币消耗系数（1经验=1.5金币）
