 	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	所属关卡组ID(此字段服务器用)	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	撞击飞行关卡预览视频文件（填video表中ID）	飞行关入场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP） 	飞行关出场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP）	飞行关入场距离	预览视频第一帧图片路径	背景音乐	显示顺序	难度	地图摄像机修正Z	战斗角色大小比例	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，31-击杀怪物数量达到x，32-积分达到x)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	日常副本奖励(根据每一次通关获得的星级发放对应奖励，1星奖励ID-2星奖励ID-3星奖励ID)	是否播放关卡开场默认动作	是否播放胜利动作	词缀怪物总数	词缀怪物出现区间
id	dungeonName	dungeonType	fightingMode	preLevelId	isFree	datingID	plotBrief	lastOne	positionOrder	levelGroupId	levelGroupServerID	heroLimitType	heroLimitID	heroForbiddenID	monsterGroupId	levelScript	levelStepID	previewVideo	debutDir	leaveDir	debutDistance	previewPicture	bgm	num	difficulty	cameraAmend	roleSize	cameraAmendX	time	name	simpleName	levelName	icon	rewardIcon	picture	intendPicture	limitAttributes	limitTargetType	limitAttributesDescribe		victoryType	victoryParam	victoryTypeDescribe	victoryTypeDescribeForOpening	starType	starParam	starDescribe	firstDropShow	dropShow	playerLv	cost	fightCount	isDuelMod	duelModCost	rewardMultiple	duelModSkills	isQuickBattle	quickBattleParameter	reward	firstReward	dailyLevelReward	isPlayBornAction	isPlayVictorAction	affixNumber	affixSection
number	string	number	number	numbers	boolean	numbers	number	boolean	json	number	number	number	numbers	numbers	numbers	string	number	number	number	number	number	string	string	number	number	number	number	numbers	number	string	string	string	string	number	string	string	numbers	numbers	string	comment	numbers	json	numbers	number	numbers	numbers	numbers	numbers	numbers	number	vjson	number	boolean	json	number	number	boolean	vjson	number	number	numbers	boolean	boolean	number	numbers
int		int	int	int[]	boolean	int[]		boolean		int	int	int	int[]	int[]	int[]	string	int						string		int				int								int[]	int[]			int[]	list			int[]	int[]				int	map	int	boolean	map	int		boolean	map	int	int	int[]				
101101	第1章简单1-1-战斗	1	1						[29,[1,2]]	1001	1001	1	1000		1011-1012-1013-1014-1015	3_S1L1							sound/battle_sound/battle_002.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png	8010	1			1	[[2]]	300801	300816	2-3-4	10-150-90	300052-300053-300054	510201-510101-510151	510201-510103-510101-510151-210009	1	{500004:6}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210101	60110101		0	0	1	2-5
101102	第1章简单1-2-约会	2		101101		1001	950026		[18,[3]]	1001	1001													2	1		0.6		300	950025			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png									2-3-5	15-150-3	950003	510208-510101-510151	510208-510101-510151	1	{500004:0}	99	0				0			60110102		1	1		
101103	第1章简单1-2-约会	2		101102		1002	950002		[46,[4]]	1001	1001													3	1		0.6		300	950001			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png									2-3-6	15-150-10	950027	510207-510101-510151	510207-510101-510151	1	{500004:0}	99	0				0			60110103		1	1		
101104	第1章简单1-3-战斗	1	1	101103					[22,[3]]	1001	1001	1	1001		1111-1112-1113-1114	3_S1L2							sound/battle_sound/battle_003.mp3	4	1		0.6		300	300303			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png		1		常规+循环+常规	1	[[2]]	300801	300816	2-3-7	15-150-5	300052-300053-300057	510202-510101-510151	510202-510209-510101-510151-210009	1	{500004:6}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210104	60110104		0	1		
101105	第1章简单1-4-战斗	1	1	101104					[37,[5,6]]	1001	1001	1	1002		1211-1212-1213-1214-1215	3_S1L3							sound/battle_sound/battle_004.mp3	5	1		0.6		300	300304			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png		1		循环(怪物易进攻)	1	[[2]]	300801	300816	2-4-5	15-90-3	300052-300054-300055	510301-510101-510151	510203-510153-510101-510151-210009	1	{500004:6}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210105	60110105		1	1		
101206	第1章简单2-1-城市约会	3		101105		101	950007		[30,[5,6]]	1002	1001													1	1		0.6		300	950011			icon/fuben/levelIcon/Dating/tiantai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png									2-5-6	15-3-10	950008	510206-510101-510151	510206-510101-510151	3	{500004:0}	99	0				0			60110106		1	1		
101207	第1章简单2-2-飞行模式	1	2	101206					[33,[1,2]]	1002	1001	1	10010202			3_S1L4		2002	1	2	400	ui/fuben/shixiangfeixing.png	sound/battle_sound/battle_003.mp3	2	1		0.6		55	300302			icon/fuben/levelIcon/Dungeon/feixingguanqia_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png		3			2	[[55]]	300802	300817	5-32-11	1-400-110101	300052-300066-300057	510204-510101-510151	510204-510210-510101-510151-210009	3	{500004:6}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210107	60110107		1	0		
