id	关卡名策划看	通关条件类型(1歼灭，2生存，3目标击杀-具体怪物，4目标击杀-怪物类型，5目标击杀-怪物数量)	通关条件参数(歼灭-填1占位，生存-限制时间x秒内存活，目标击杀-怪物ID及数量x，目标击杀-怪物敌人类型及数量x，目标击杀-怪物总量x)	开场动画	出生动作前动画	出生点	普通刷怪区域1空气墙组	刷新怪物	区域2长度	刷新怪物	区域3长度	刷新怪物	区域4长度	刷新怪物	无限刷怪区域长度	刷新怪物	定时刷怪区域长度	刷新怪物	最大数量限制	极限刷怪区域长度	补充刷怪	怪物刷新时间	结算前动画脚本
id	dungeonName	victoryType	victoryParam	op	prevScript	bornPoint	LengthN1	MonsterN1	LengthN2	MonsterN2	LengthN3	MonsterN3	LengthN4	MonsterN4	LengthE	MonsterE	LengthT	MonsterT	NumMaxT	LengthL	MonsterL	TimeL	endScript
number	string	number	json	string	string	number	numbers	json	numbers	json	numbers	json	numbers	json	numbers	json	numbers	json	number	numbers	json	number	string
int																							
1001	第1章简单关卡1-剧情	1		10001		4	0-1100	[[1,0,0][2,0,0]]	1000-2100	[[1,0,0]]	0-1200	[[1,0,0][2,0,0]]	1000-2100										
1002	第1章简单关卡2-剧情	5	[[20]]			4									0-1300	[[1,0,0][2,0,0]]							
1003	第1章简单关卡3	2	[[30000]]			4											0-1500	[[1,1000][2,5000]]	5				
1004	第1章简单关卡4	1				4														0-1500	[2,300]	5000	
1101	第1章困难关卡1	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1102	第1章困难关卡2	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1103	第1章困难关卡3	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1104	第1章困难关卡4	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1105	第1章困难关卡5	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1106	第1章困难关卡6	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1107	第1章困难关卡7	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1108	第1章困难关卡8	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1109	第1章困难关卡9	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
1110	第1章困难关卡10	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
																							
1201	第1章噩梦关卡1（歼灭）	1				11	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200]]													
1202	第1章噩梦关卡2（歼灭）	1				11	100-1600	[[1,0,200]]	1000-2500	[[2,0,200][3,0,200]]													
1203	第1章噩梦关卡3（限时）	5	[[16]]			3	680-2150	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
1204	第1章噩梦关卡4（歼灭）	1				3	680-2150	[[1,0,200]]	1380-2900	[[2,0,200][3,0,200]]													
1205	第1章噩梦关卡5（限时）	5	[[16]]			11	1400-2900	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
1206	第1章噩梦关卡6（歼灭）	1				3	600-2100	[[1,0,200][2,0,200]]	1300-2800	[[3,0,200]]													
																							
2001	第2章简单关卡1	3	[[2040,1][2021,1]]			4	0-1386	[[1,0,0][2,0,0][2,0,0]]	1000-2386	[[1,0,0]]													
2002	第2章简单关卡2	4	[[1,1][2,1]]			4	0-1386	[[1,0,0][2,0,0][2,0,0]]	1000-2386	[[1,0,0]]													
2101	第2章困难关卡1	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2102	第2章困难关卡2	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
