id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	关卡倒计计时延迟时间	战斗角色大小比例	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述	词缀怪物总数	词缀怪物出现区间	是否播放胜利动作
id	order	week	monsterGroupId	dungeonLevel	difficulty	type	map	levelScript	levelStepID	time	delayTime	roleSize	cameraAmend	limitAttributes	limitTargetType	limitAttributesDescribe	victoryType	victoryParam	bgm	dropShow	playerLv	cost	fightCount	reward	floorReward	modelName	modelDescribe	strategyDescribe	affixNumber	affixSection	isPlayVictorAction
number	number	number	numbers	number	number	number	numbers	strings	number	number	number	number	number	numbers	numbers	string	numbers	json	string	numbers	number	vjson	number	number	vjson	number	number	number	number	numbers	boolean
int	int	int	int[]	int	int		int[]		int	int				int[]	int[]		int[]	list			int	map	int	int	map						
101001	1	1	3000001-3000002-3000003	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400001	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101002	2	1	3000004-3000005-3000006	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400002	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101003	3	1	3000007	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400003	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101004	4	1	3000010	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400004	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101005	5	1	3000013-3000014-3000015	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400005	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101006	6	1	3000016-3000017-3000018	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400006	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101007	7	1	3000019	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400007	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101008	8	1	3000022	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400008	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101009	9	1	3000025-3000026-3000027	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400009	{500001:3000,500002:20,570005:3}	300841	300851	300861	2	3-15	1
101010	10	1	3000028	10	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400010	{500001:3000,500002:20,570005:3}	300841	300851	300861			1
101011	11	1	3000031-3000032-3000033	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400011	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101012	12	1	3000034-3000035-3000036	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400012	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101013	13	1	3000037	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400013	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101014	14	1	3000040	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400014	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101015	15	1	3000043-3000044-3000045	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400015	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101016	16	1	3000046-3000047-3000048	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400016	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101017	17	1	3000049	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400017	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101018	18	1	3000052	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400018	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101019	19	1	3000055-3000056-3000057	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400019	{500001:6000,500002:40,570005:6}	300841	300851	300861	2	3-15	1
101020	20	1	3000058	15	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400020	{500001:6000,500002:40,570005:6}	300841	300851	300861			1
101021	21	1	3000061-3000062-3000063	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400021	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101022	22	1	3000064-3000065-3000066	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400022	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101023	23	1	3000067	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400023	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101024	24	1	3000070	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400024	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101025	25	1	3000073-3000074-3000075	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400025	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
