id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
id	name	des	superType	level	weight	attrType	attribute
number	string	string	number	number	number	number	numbers
int			int	int	int	int	int[]
1	穿透率1-区间1	420503	1	1	150	503	50-60
2	穿透率1-区间2	420503	1	1	168	503	60-70
3	穿透率1-区间3	420503	1	1	132	503	70-80
4	穿透率1-区间4	420503	1	1	90	503	80-90
5	穿透率1-区间5	420503	1	1	60	503	90-100
6	穿透率2-区间1	420503	1	2	225	503	100-115
7	穿透率2-区间2	420503	1	2	252	503	115-130
8	穿透率2-区间3	420503	1	2	198	503	130-145
9	穿透率2-区间4	420503	1	2	135	503	145-160
10	穿透率2-区间5	420503	1	2	90	503	160-175
11	穿透率3-区间1	420503	1	3	188	503	175-195
12	穿透率3-区间2	420503	1	3	210	503	195-215
13	穿透率3-区间3	420503	1	3	165	503	215-235
14	穿透率3-区间4	420503	1	3	113	503	235-255
15	穿透率3-区间5	420503	1	3	75	503	255-275
16	穿透率4-区间1	420503	1	4	113	503	275-295
17	穿透率4-区间2	420503	1	4	126	503	295-315
18	穿透率4-区间3	420503	1	4	99	503	315-335
19	穿透率4-区间4	420503	1	4	68	503	335-355
20	穿透率4-区间5	420503	1	4	45	503	355-375
21	穿透率5-区间1	420503	1	5	75	503	375-400
22	穿透率5-区间2	420503	1	5	84	503	400-425
23	穿透率5-区间3	420503	1	5	66	503	425-450
24	穿透率5-区间4	420503	1	5	45	503	450-475
25	穿透率5-区间5	420503	1	5	30	503	475-500
26	命中率1-区间1	420505	2	1	150	505	30-36
27	命中率1-区间2	420505	2	1	168	505	36-42
28	命中率1-区间3	420505	2	1	132	505	42-48
29	命中率1-区间4	420505	2	1	90	505	48-54
30	命中率1-区间5	420505	2	1	60	505	54-60
31	命中率2-区间1	420505	2	2	225	505	60-69
32	命中率2-区间2	420505	2	2	252	505	69-78
33	命中率2-区间3	420505	2	2	198	505	78-87
34	命中率2-区间4	420505	2	2	135	505	87-96
35	命中率2-区间5	420505	2	2	90	505	96-105
36	命中率3-区间1	420505	2	3	188	505	105-117
37	命中率3-区间2	420505	2	3	210	505	117-129
38	命中率3-区间3	420505	2	3	165	505	129-141
39	命中率3-区间4	420505	2	3	113	505	141-153
40	命中率3-区间5	420505	2	3	75	505	153-165
41	命中率4-区间1	420505	2	4	113	505	165-177
42	命中率4-区间2	420505	2	4	126	505	177-189
43	命中率4-区间3	420505	2	4	99	505	189-201
44	命中率4-区间4	420505	2	4	68	505	201-213
45	命中率4-区间5	420505	2	4	45	505	213-225
46	命中率5-区间1	420505	2	5	75	505	225-240
47	命中率5-区间2	420505	2	5	84	505	240-255
48	命中率5-区间3	420505	2	5	66	505	255-270
49	命中率5-区间4	420505	2	5	45	505	270-285
50	命中率5-区间5	420505	2	5	30	505	285-300
51	暴击率1-区间1	420507	3	1	150	507	50-60
52	暴击率1-区间2	420507	3	1	168	507	60-70
53	暴击率1-区间3	420507	3	1	132	507	70-80
54	暴击率1-区间4	420507	3	1	90	507	80-90
55	暴击率1-区间5	420507	3	1	60	507	90-100
56	暴击率2-区间1	420507	3	2	225	507	100-115
57	暴击率2-区间2	420507	3	2	252	507	115-130
58	暴击率2-区间3	420507	3	2	198	507	130-145
59	暴击率2-区间4	420507	3	2	135	507	145-160
60	暴击率2-区间5	420507	3	2	90	507	160-175
61	暴击率3-区间1	420507	3	3	188	507	175-195
62	暴击率3-区间2	420507	3	3	210	507	195-215
63	暴击率3-区间3	420507	3	3	165	507	215-235
64	暴击率3-区间4	420507	3	3	113	507	235-255
65	暴击率3-区间5	420507	3	3	75	507	255-275
66	暴击率4-区间1	420507	3	4	113	507	275-295
67	暴击率4-区间2	420507	3	4	126	507	295-315
68	暴击率4-区间3	420507	3	4	99	507	315-335
69	暴击率4-区间4	420507	3	4	68	507	335-355
70	暴击率4-区间5	420507	3	4	45	507	355-375
71	暴击率5-区间1	420507	3	5	75	507	375-400
72	暴击率5-区间2	420507	3	5	84	507	400-425
73	暴击率5-区间3	420507	3	5	66	507	425-450
74	暴击率5-区间4	420507	3	5	45	507	450-475
75	暴击率5-区间5	420507	3	5	30	507	475-500
76	暴伤率1-区间1	420509	4	1	150	509	100-120
77	暴伤率1-区间2	420509	4	1	168	509	120-140
78	暴伤率1-区间3	420509	4	1	132	509	140-160
79	暴伤率1-区间4	420509	4	1	90	509	160-180
80	暴伤率1-区间5	420509	4	1	60	509	180-200
81	暴伤率2-区间1	420509	4	2	225	509	200-230
82	暴伤率2-区间2	420509	4	2	252	509	230-260
83	暴伤率2-区间3	420509	4	2	198	509	260-290
84	暴伤率2-区间4	420509	4	2	135	509	290-320
85	暴伤率2-区间5	420509	4	2	90	509	320-350
86	暴伤率3-区间1	420509	4	3	188	509	350-390
87	暴伤率3-区间2	420509	4	3	210	509	390-430
