id	对应精灵id	精灵名称	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
id	heroId	comment	cell	cellIcon	partition	model	bg	coordinates	icon	neighborId	unlockCondition	des	attribute	material	combatPower
number	number	comment	number	boolean	number	string	string	string	string	numbers	json	string	json	json	number
int	int		int		int					int[]	list		map	map	int
1	110101	十香	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/3.png	2		防御+5	{3:500}	{500001:2000,510201:1,510202:1,510203:1}	4
2	110101	十香	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+7	{2:700}	{500001:2000,510206:2,510207:2,510205:2}	4
3	110101	十香	3		1			24	icon/attribute/70x70/1.png	2-5	[2]	生命+27	{1:2700}	{500001:2000,510208:2,510204:2,510202:2}	4
4	110101	十香	4		1			26	icon/attribute/70x70/2.png	2-5	[2]	攻击+7	{2:700}	{500001:2000,510201:2,510203:2,510204:2}	4
5	110101	十香	5		1			36	icon/attribute/70x70/504.png	3-4-6	[3,4]	抗暴率+0.5%	{508:50}	{500001:4000,510206:2,510207:2,510208:2}	4
6	110101	十香	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/1.png	5-7	[5]	生命+27	{1:2700}	{500001:5000,510205:3,510201:3,510202:3}	5
7	110101	十香	7		2			14	icon/attribute/70x70/2.png	6-8-9	[6]	攻击+8	{2:800}	{500001:5000,510203:3,510206:3,510209:1}	5
8	110101	十香	8		2			18	icon/attribute/70x70/2.png	7-10	[7]	攻击+8	{2:800}	{500001:5000,510204:3,510203:3,510212:1}	5
9	110101	十香	9		2			21	icon/attribute/70x70/3.png	7-10	[7]	防御+5	{3:500}	{500001:5000,510206:3,510202:3,510214:1}	5
10	110101	十香	10		2			25	icon/attribute/70x70/508.png	8-9-11	[8,9]	防御力+0.5%	{1003:50}	{500001:10000,510207:3,510204:3,510216:1}	6
11	110101	十香	11		2			36	icon/attribute/70x70/1.png	10-12	[10]	生命+33	{1:3300}	{500001:5000,510208:3,510207:3,510213:1}	6
12	110101	十香	12		3			3	icon/attribute/70x70/1.png	11-13	[11]	生命+33	{1:3300}	{500001:10000,510205:4,510201:4,510210:2}	6
13	110101	十香	13		3			7	icon/attribute/70x70/3.png	12-14	[12]	格挡率+0.5%	{504:50}	{500001:20000,510202:4,510209:2,510211:2}	6
14	110101	十香	14		3			14	icon/attribute/70x70/2.png	13-15	[13]	攻击+10	{2:1000}	{500001:10000,510203:4,510215:2,510216:2}	6
15	110101	十香	15		3			21	icon/attribute/70x70/2.png	14-16	[14]	攻击+10	{2:1000}	{500001:10000,510207:4,510210:2,510213:2}	6
16	110101	十香	16		3			25	icon/attribute/70x70/504.png	15-17	[15]	抗暴率+1.0%	{508:100}	{500001:20000,510208:4,510214:2,510210:2}	6
17	110101	十香	17		3			29	icon/attribute/70x70/1.png	16-18	[16]	生命+40	{1:4000}	{500001:10000,510206:4,510212:2,510211:2}	7
18	110101	十香	18		3			36	icon/attribute/70x70/3.png	17-19	[17]	防御+6	{3:600}	{500001:10000,510205:3,510215:3,510214:3}	7
19	110101	十香	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+6	{3:600}	{500001:15000,510209:3,510216:3,510210:3}	6
20	110101	十香	20		4			7	icon/attribute/70x70/1.png	19-22	[19]	生命+40	{1:4000}	{500001:15000,510215:3,510211:3,510212:3}	6
21	110101	十香	21		4			14	icon/attribute/70x70/2.png	19-22-24	[19]	抗暴率+1.0%	{508:100}	{500001:30000,510214:3,510213:3,510211:3}	6
22	110101	十香	22		4			18	icon/attribute/70x70/2.png	20-21	[20,21]	攻击+12	{2:1200}	{500001:15000,510209:3,510215:3,510213:3}	6
23	110101	十香	23		4			21	icon/attribute/70x70/508.png	24-25	[24]	格挡率+1.0%	{504:100}	{500001:30000,510214:4,510212:4,510216:1}	6
24	110101	十香	24		4			25	icon/attribute/70x70/2.png	21-23-26	[21]	攻击+12	{2:1200}	{500001:15000,510209:4,510216:4,510218:1}	6
25	110101	十香	25		4			32	icon/attribute/70x70/3.png	23-26	[23,26]	防御+7	{3:700}	{500001:15000,510210:4,510212:4,510217:1}	8
26	110101	十香	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24]	生命+47	{1:4700}	{500001:15000,510211:4,510209:4,510219:1}	8
27	110101	十香	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+7	{3:700}	{500001:20000,510212:4,510215:4,510220:1}	7
28	110101	十香	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+47	{1:4700}	{500001:20000,510215:5,510213:2,510222:2}	7
29	110101	十香	29		5			10	icon/attribute/70x70/504.png	30	[30]	防御力+1.0%	{1003:100}	{500001:40000,510210:5,510223:2,510219:2}	7
30	110101	十香	30		5			14	icon/attribute/70x70/2.png	27-29-31	[27]	攻击+13	{2:1300}	{500001:20000,510211:5,510224:2,510218:2}	7
31	110101	十香	31		5			18	icon/attribute/70x70/1.png	28-30-32-33	[28,30]	格挡率+1.0%	{504:100}	{500001:40000,510214:5,510221:2,510220:2}	7
