	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPic1	insertPic2	insertPic3	skip	jump	comment	addsign	delsign	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	message	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2	outsideType	outsideUnlock	outsideReward	outsideEnd	outsideRepeat	extraBonus
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	number	numbers	comment	numbers	numbers	number	number	number	string	boolean	string	number	string	number	json	number	number	number	number	string	boolean	string	number	string	number	json	number	number	number	number	string	boolean	string	number	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	number	json	json	number	string	string	number	json	json	number	json	string	string	boolean	number	json	json	json	json
int	int	int	map	int	int													int[]		int[]	int[]																																																					int	int							map	map	int			int	map	map	int				boolean	int	map	map	map	map
145100001	103010000	1	{}		100		 	1	{}				{}					145100002	4												{}											{}											{}							scene/bg/bg_keting.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100002	103010000	1	{}		100	1	十香又在看电视吗？	1	{}				{}					145100003				10107	3		id_pose_1		id_look_4			2	{}	1.3										{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}		{}					{}	{}	{}	{}
145100003	103010000	1	{}		100	夜刀神十香	%s待会儿再过来，现在是这部晚间剧最精彩的部分！	1	{}				{}					145100004				1			id_normal_4						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100004	103010000	1	{}		100	1	呃……就算再精彩，也不用靠得这么近啊。	1	{}				{}					145100005				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100005	103010000	1	{}		100	1	那样对视力很不好哦。	1	{}				{}					145100006				1			id_pose_1		id_look_1				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100006	103010000	1	{}		100	夜刀神十香	没办法啊，因为电视太小了，而坏人脸上每一个细节我都不能错过。	1	{}				{}					145100007				1			id_favor1_5						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100007	103010000	1	{}		100	夜刀神十香	我要记住他的脸……找机会……除掉。	1	{}				{}					145100008				1			id_pose_1		id_look_13				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100008	103010000	1	{}		100	1	什！什么啊！对方只是演员而已啦。	1	{}				{}					145100009				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100009	103010000	1	{}		100		 	1	{}				{}					145100010						3							{}											{}											{}		0.1-7-12-5-0.028	4									{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100010	103010000	1	{}		100		看她如此投入的样子，我有些担忧，如果是四糸乃，以她对电视的痴迷程度，估计会直接钻进去吧？	1	{}				{}					145100011													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100011	103010000	1	{}		100	1	我说，琴里啊，四糸乃马上就要搬过来了，能换个屏幕大点的电视吗？	1	{}				{}					145100012				10504	3							2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100012	103010000	1	{}		100	五河琴里	这种小事，马上就可以办到了。	1	{}				{}					145100013				1			id_favor3_1						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100013	103010000	1	{}		100		琴里拨通了电话，在说明要求后，仅仅过了一分钟，神无月就抱着电视机狠狠摔进了客厅里。	1	{}				{}					145100014				1			id_pose_1		id_look_1				{}											{}											{}		0.1-7-9-5-0.024	0									{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
