	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPic1	insertPic2	insertPic3	jump	comment	addSign	delSign	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	message	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2	outsideType	outsideUnlock	outsideReward	outsideEnd	outsideRepeat	extraBonus
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	numbers	comment	numbers	numbers	number	number	number	string	boolean	string	number	string	number	json	number	number	number	number	string	boolean	string	number	string	number	json	number	number	number	number	string	boolean	string	number	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	number	json	json	number	string	string	number	json	json	number	json	string	string	boolean	number	json	json	json	json
int	int	int	map	int	int												int[]		int[]	int[]																																																					int	int							map	map	int			int	map	map	int				boolean	int	map	map	map	map
100001	101010000	1	{}		100			1	{}				{}				100002	4												{}											{}											{}							scene/bg/bg_pohuaixuexiao2.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100002	101010000	1	{}		100		在昨天空间震发生的废墟中，我再次遇到了十香。	1	{}				{}				100003													{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}							{}	{}	{}	{}
100003	101010000	1	{}		100		用约会来稳定住她体内依然躁动的灵力，这是我今天的任务。	1	{}				{}				100004													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100004	101010000	1	{}		100		想起那张忧郁到让人惋惜的脸庞，今天我决定全力以赴！	1	{}				{}				100005													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100005	101010000	1	{}		100			1	{}				{}				100006													{}											{}											{}							scene/bg/bg_pohuaixuexiao2.png	1		1.5	-1	{"x":284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100006	101010000	1	{}		100		1	1	{}				{}				100007													{}											{}											{}												{}	sound/bgm/shop_001.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
100007	101010000	1	{}		100	夜刀神十香	“呐……%s，约会到底是什么呢？”	1	{}				{}				100008				10104	3		id_normal_13					2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100008	101010000	1	{}		100	1	“约会就是……唔，不知道怎么说，十香还是亲身去感受比较好呢。”	1	{}				{}				100009				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100009	101010000	1	{}		100		1	1	{}				{}				100010						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100010	101010000	1	{}		100			1	{}				{}				100011													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100011	101010000	1	{}		100		一来到美食街，十香整个人就都趴在了面包店的橱窗玻璃上。	1	{}				{}				100012													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100012	101010000	1	{}		100		1	1	{}				{}				100013													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100013	101010000	1	{}		100	夜刀神十香	“这是什么！%s！是什么，是什么，是什么啊！”	1	{}				{}				100014				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100014	101010000	1	{}		100	1	“是黄豆粉面包。”	1	{}				{}				100015				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100015	101010000	1	{}		100	夜刀神十香	“唔？黄豆粉面包？”	1	{}				{}				100016				1			id_normal_13						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100016	101010000	1	{}		100	1	“没错，是好吃的哦。”	1	{}				{}				100017				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100017	101010000	1	{}		100		说着，我拉着十香进入了面包店里。	1	{}				{}				100018				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100018	101010000	1	{}		100		1	1	{}				{}				100019						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
