id	当前外传的ID	初始时间	气温	天气	湿度	时间描述（策划看）	事件	天数显示	基础城市调用	天数	提示
id	outsideId	stepTime	weather1	weather2	weather3	stepTimeDes	event	dayShow	basicCity	day	prompt
number	number	string	number	string	number		numbers	number	number	number	number
int	int	string					int[]	int	int	int	int
101000	101	09:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110001	900704	1	1	900715
101001	101	11:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110101-110102-110103-110104-110105-110106	900704	1	1	900716
101002	101	12:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110201-110202-110203-110204-110205	900704	1	1	900717
101003	101	14:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110301-110302-110303-110304	900704	1	1	900718
101004	101	16:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110401-110402-110403	900704	1	1	900719
101005	101	18:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110501-110502-110503-110504	900704	1	1	900720
101006	101	20:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110601-110602-110603-110604	900704	1	1	900721
101007	101	21:00:00	12198	ui/newCity/city_main/duoyun.png	12199		110701	900704	1	1	900722
											
1010100	1010101	07:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010000	900704	1	1	
1010101	1010101	08:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010111-101010112-101010113-101010114-101010115-101010116-101010101-101010102	900704	2	1	900754
1010102	1010101	10:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010211-101010212-101010213-101010214-101010215-101010216-101010217-101010218-101010219-101010220-101010201-101010202-101010203	900704	3	1	900755
1010103	1010101	13:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010311-101010312-101010313-101010314-101010315-101010316-101010317-101010318-101010301-101010302	900704	1	1	900756
1010104	1010101	15:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010411-101010412-101010413-101010414-101010415-101010416-101010417-101010418-101010419-101010401-101010402	900704	2	1	900757
1010105	1010101	17:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010511-101010512-101010513-101010514-101010515-101010516-101010517-101010518-101010501-101010502-101010503	900704	3	1	900758
1010106	1010101	19:00:00	12198	ui/newCity/city_main/duoyun.png	12199		101010611-101010612-101010613-101010614-101010615-101010616-101010601-101010602-101010603-101010604	900704	1	1	900759
											
1020100	1020101	10:00:00	12198	ui/newCity/city_main/duoyun.png	12199		102010000	900704	1	1	
1020101	1020101	16:30:00	12198	ui/newCity/city_main/duoyun.png	12199		102010111-102010112-102010113-102010114-102010115-102010116-102010117-102010101	900704	2	1	900801
1020102	1020101	08:00:00	12198	ui/newCity/city_main/duoyun.png	12199		102010211-102010212-102010213-102010201	900704	3	1	900802
1020103	1020101	12:00:00	12198	ui/newCity/city_main/duoyun.png	12199		102010311-102010312-102010313-102010314-102010315-102010316-102010317-102010301	900704	5	1	900803
1020104	1020101	15:00:00	12198	ui/newCity/city_main/duoyun.png	12199		102010411-102010412-102010413-102010414-102010415-102010416-102010417-102010401	900704	6	1	900804
1020105	1020101	17:30:00	12198	ui/newCity/city_main/duoyun.png	12199		102010511-102010512-102010513-102010514-102010515-102010516-102010501-102010502-102010503	900704	7	1	900805
1020106	1020101	19:30:00	12198	ui/newCity/city_main/duoyun.png	12199		102010611-102010612-102010613-102010614-102010601	900704	5	1	900806
1020107	1020101	21:15:00	12198	ui/newCity/city_main/duoyun.png	12199		102010711-102010712-102010713-102010714-102010715-102010716-102010701-102010702	900704	6	1	900807
1020108	1020101	21:30:00	12198	ui/newCity/city_main/duoyun.png	12199		102010811-102010812-102010802-102010803-102010801	900704	7	1	900808
											
1050100	1050101	07:30:00	12198	ui/newCity/city_main/duoyun.png	12199		105010000	900704	1	1	
1050101	1050101	07:30:00	12198	ui/newCity/city_main/duoyun.png	12199		105010111-105010112-105010113-105010114-105010115-105010117-105010118-105010116-105010101-105010102	900704	2	1	900812
1050102	1050101	09:00:00	12198	ui/newCity/city_main/duoyun.png	12199		105010211-105010212-105010213-105010214-105010215-105010216-105010201	900704	3	1	900813
1050103	1050101	12:30:00	12198	ui/newCity/city_main/duoyun.png	12199		105010311-105010312-105010313-105010314-105010315-105010316-105010317-105010318-105010301-105010302	900704	1	1	900814
1050104	1050101	15:00:00	12198	ui/newCity/city_main/duoyun.png	12199		105010411-105010412-105010418-105010413-105010414-105010415-105010416-105010417-105010401	900704	2	1	900815
1050105	1050101	17:00:00	12198	ui/newCity/city_main/duoyun.png	12199		105010511-105010512-105010513-105010514-105010515-105010516-105010501	900704	3	1	900816
1050106	1050101	19:30:00	12198	ui/newCity/city_main/duoyun.png	12199		105010611-105010612-105010613-105010614-105010616-105010618-105010619-105010617-105010601-105010602	900704	1	1	900817
											
1030100	1030101	07:00:00	12198	ui/newCity/city_main/duoyun.png	12199		103010000	900704	1	1	
1030101	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010111-103010112-103010113-103010114-103010115-103010116-103010117-103010118-103010101	900704	2	1	
1030102	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010211-103010212-103010213-103010214-103010215-103010216-103010217-103010218-103010201	900704	3	1	
1030103	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010311-103010312-103010313-103010314-103010315-103010316-103010317-103010318-103010301	900704	1	1	
1030104	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010411-103010412-103010413-103010414-103010415-103010416-103010417-103010418-103010401	900704	2	1	
1030105	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010511-103010512-103010513-103010514-103010515-103010516-103010517-103010518-103010501	900704	3	1	
1030106	1030101		12198	ui/newCity/city_main/duoyun.png	12199		103010611-103010612-103010613-103010614-103010615-103010616-103010617-103010618-103010601-103010602-103010603	900704	1	1	
											
1020200	1020102	06:30:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	1	1	
1020201	1020102	07:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	2	1	
1020202	1020102	09:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	3	1	
1020203	1020102	11:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	1	1	
1020204	1020102	13:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	2	1	
1020205	1020102	15:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	3	1	
1020206	1020102	17:00:00	12198	ui/newCity/city_main/duoyun.png	12199			900704	1	1	
