ID	调用剧情表格文件名	功能类型（约会）	餐厅类型	料理名字	展示料理（对应item表中物品ID）	所需能力	所需食材	料理排序	奖励料理（所需积分,物品ID,数量）	分数对应跳转（约会）	最大积分（用于计算制作提前结束，一定要与最大所需积分相等）	制作总时长	qte(类型，出现时间点)	每秒增长积分
id	callTableName	datingId	foodType	name	presentId	ability	materials	order	integral	jump	maxintegral	cooktime	qte	natureTime
number	string	number	number	string	number	vjson	vjson	number	json	json	number	number	strings	number
int	string	int	int	string	int	map	map	int	list	map	int	int	string[]	int
1			1	干面包	534011	{500020:0,500021:0}	{500024:1,532101:5,532106:5}	1	[{25:{534011:1}},{35:{534012:1}},{40:{534013:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
2			1	牛奶面包	534021	{500020:0,500021:0}	{500024:1,532101:5,532104:5}	2	[{25:{534021:1}},{35:{534022:1}},{40:{534023:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
3			1	奶酪蛋挞	534031	{500020:0,500021:0}	{500024:1,532104:5,532102:5}	3	[{25:{534031:1}},{35:{534032:1}},{40:{534033:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
4			1	黄油面包	534042	{500020:30,500021:30}	{500024:2,532101:6,532103:6,532202:2}	4	[{25:{534042:1}},{35:{534043:1}},{40:{534044:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
5			1	布丁蛋糕	534052	{500020:35,500021:25}	{500024:2,532102:6,532103:6,532201:2}	5	[{25:{534052:1}},{35:{534053:1}},{40:{534054:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
6			1	黄豆粉面包	534062	{500020:25,500021:35}	{500024:2,532101:6,532103:6,532206:2}	6	[{25:{534062:1}},{35:{534063:1}},{40:{534064:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
7			1	抹茶蛋糕	534073	{500020:90,500021:90}	{500024:3,532101:7,532102:7,532204:2,532303:1}	7	[{25:{534073:1}},{35:{534074:1}},{40:{534075:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
8			1	糯米团子	534083	{500020:80,500021:100}	{500024:3,532109:7,532106:7,532206:2,532301:1}	8	[{25:{534083:1}},{35:{534084:1}},{40:{534085:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
9			1	草莓大福	534093	{500020:100,500021:80}	{500024:3,532109:7,532103:7,532201:2,532303:1}	9	[{25:{534093:1}},{35:{534094:1}},{40:{534095:1}}]	{}	40	25	1,4-2,9-1,14-3,19	1
10			2	清甜果汁	534101	{500019:0,500022:0}	{500024:1,532105:5,532107:5}	1	[{25:{534101:1}},{45:{534102:1}},{50:{534103:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
11			2	蔬菜汁	534111	{500019:0,500022:0}	{500024:1,532105:5,532108:5}	2	[{25:{534111:1}},{45:{534112:1}},{50:{534113:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
12			2	糯米酒	534121	{500019:0,500022:0}	{500024:1,532105:5,532109:5}	3	[{25:{534121:1}},{45:{534122:1}},{50:{534123:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
13			2	水果布丁	534132	{500019:30,500022:30}	{500024:2,532106:6,532107:6,532201:2}	4	[{25:{534132:1}},{45:{534133:1}},{50:{534134:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
14			2	布丁奶昔	534142	{500019:25,500022:35}	{500024:2,532104:6,532106:6,532203:2}	5	[{25:{534142:1}},{45:{534143:1}},{50:{534144:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
15			2	牛奶可可	534152	{500019:35,500022:25}	{500024:2,532105:6,532104:6,532203:2}	6	[{25:{534152:1}},{45:{534153:1}},{50:{534154:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
16			2	薄荷抹茶	534163	{500019:90,500022:90}	{500024:3,532105:7,532106:7,532204:2,532302:1}	7	[{25:{534163:1}},{45:{534164:1}},{50:{534165:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
17			2	绿色妖姬	534173	{500019:80,500022:100}	{500024:3,532105:7,532103:7,532204:2,532301:1}	8	[{25:{534173:1}},{45:{534174:1}},{50:{534175:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
18			2	薄荷奶茶	534183	{500019:100,500022:80}	{500024:3,532104:7,532106:7,532203:2,532302:1}	9	[{25:{534183:1}},{45:{534184:1}},{50:{534185:1}}]	{}	50	25	1,4-2,9-1,14-3,19	1
19			3	水果寿司	534191	{500019:0,500020:0}	{500024:1,532107:5,532109:5}	1	[{25:{534191:1}},{47:{534192:1}},{53:{534193:1}}]	{}	53	25	1,4-2,9-1,14-3,19	1
20			3	蔬菜蛋卷	534201	{500019:0,500020:0}	{500024:1,532108:5,532102:5}	2	[{25:{534201:1}},{47:{534202:1}},{53:{534203:1}}]	{}	53	25	1,4-2,9-1,14-3,19	1
21			3	水果披萨	534211	{500019:0,500020:0}	{500024:1,532107:5,532101:5}	3	[{25:{534211:1}},{47:{534212:1}},{53:{534213:1}}]	{}	53	25	1,4-2,9-1,14-3,19	1
22			3	果蔬拼盘	534222	{500019:30,500020:30}	{500024:2,532108:6,532107:6,532202:2}	4	[{25:{534222:1}},{47:{534223:1}},{53:{534224:1}}]	{}	53	25	1,4-2,9-1,14-3,19	1
