id	所属引导id	引导类型（1.新手流程 2.触发式引导）	引导名称	前置id	所在界面	界面名称	引导位置（需点击的按钮）	位置名称	引导圈缩放倍数	引导员位置（1.左上 2左下）	文本内容	是否需要指定操作	自动弹出帮助	固有提示位置（固有提示在流程抵达时触发，所属引导结束后消失）
id	guideId	guideType	comment	frontId	fileName	comment1	uiName	comment2	size	position	des	showContinue	help	uiEffect
number	number	number	comment	number	string	comment	string	comment	number	number	string	boolean	boolean	string
int	int	int	comment	int	string	comment	string	comment	int	int	string	boolean	boolean	string
1	1	1	第２关引导		FubenLevelView	关卡选择界面		琴里电话文本		1	主线关卡分为战斗关卡和约会关卡	0	0	
2	1	1	第２关引导	1	FubenLevelView	关卡选择界面	3002	引导点第２关	1	2	刚刚我们体验了战斗关卡，现在来试试约会关卡吧	1	0	
3	1	1	第２关引导	2	FubenReadyView	关卡准备弹窗	4001	介绍约会通关条件	1.2	1	看到挑战目标了么，只有在约会中达成该条件才算过关哟~	0	0	
4	1	1	第２关引导	3	FubenReadyView	关卡准备弹窗	4002	引导点击进入约会	1	1	准备完毕！让我们进入关卡吧	1	0	
5	1	1	第２关引导	4	FubenLevelView	关卡选择界面		打完关卡后过渡性介绍		1	怎么样，约会关卡和战斗关卡相比，体验完全不同吧？	0	0	
6	1	1	第２关引导	5	FubenLevelView	关卡选择界面	1	引导返回主界面	0.8	1	连续挑战了2个关卡，让我们稍微休息一下，先点击按钮返回主界面吧	1	0	
7	2	1	任务引导	6	MainLayer	主界面		过渡性提示		1	emmm……好像很多功能暂时没有开放，先去任务系统看看吧	0	0	
8	2	1	任务引导	7	MainLayer	主界面	1001	引导点击任务按钮	1	1	点击指令按钮即可进入任务系统	1	0	
9	2	1	任务引导	8	TaskMainView	任务界面	6001	引导领取奖励	1	1	我们已经完成了2个主线任务了，点击右侧的按钮领取奖励吧~	1	0	
10	2	1	任务引导	9	TaskMainView	任务界面		领完任务奖励的过渡性提示		1	除了主线任务外，任务系统还包含日常任务和成就等，有时间我们再详细介绍吧	0	0	
11	2	1	任务引导	10	TaskMainView	任务界面	1	引导返回主界面	1	1		1	0	
12	3	1	第3关引导	11	MainLayer	主界面	1002	引导点击作战按钮	1	1	继续战斗吧！	1	0	
13	3	1	第3关引导	12	FubenChapterView	章节选择界面	2001	引导选择第一卷	1.2	1	点击选择章节	1	0	
14	3	1	第3关引导	13	FubenLevelView	关卡选择界面	3003	引导点第3关	1	1	这次我们将给刚刚出现的精灵取名字，千万不要失败了~	1	0	
15	3	1	第3关引导	14	FubenReadyView	关卡准备弹窗	4002	引导点击进入约会	1	1	加油吧少年！攻略精灵，拯救世界！	1	0	
16	3	1	第3关引导	15	FubenLevelView	关卡选择界面		引导结束的过渡提示		1	现阶段的教学就先到这里吧，更多有趣的东西还是等你自己去发现吧~	0	0	
17	4	1	第4关引导	16	FubenLevelView	关卡选择界面	7004				挑战第4关	0	0	1
18	5	1	第5关引导	17	FubenLevelView	关卡选择界面	7005				挑战第5关	0	0	1
