id	界面文件名	备注	帮助标题	显示格式（1 单个图 2 两个图）	图片内容（图片地址，坐标，缩放比例）	文本内容（类型（1大 2小），坐标，文本描述）
id	fileName	comment	title	type	pictureParameter	desParameter
number	string	comment	string	number	json	json
int	string		string	int	map	map
1	Help	精灵选择界面的帮助1	60001	2	[{"icon":"ui/help_view/fairy/01.png","position":{"x":258,"y":222},"size":0.75},{"icon":"ui/help/ui_01.png","position":{"x":81,"y":80},"size":1},{"icon":"ui/help_view/fairy/02.png","position":{"x":768,"y":116},"size":0.8},{"icon":"ui/help/ui_02.png","position":{"x":920,"y":330},"size":1}]	[{"type":2,"position":{"x":255,"y":30},"des":61001},{"type":2,"position":{"x":735,"y":300},"des":61002}]
2	Help	精灵选择界面的帮助2	60002	1	[{"icon":"ui/help_view/fairy/03.png","position":{"x":200,"y":200},"size":0.25},{"icon":"ui/help_view/fairy/04.png","position":{"x":750,"y":200},"size":0.25},{"icon":"ui/help_view/fairy/21.png","position":{"x":380,"y":200},"size":1},{"icon":"ui/help_view/fairy/21.png","position":{"x":620,"y":200},"size":1},{"icon":"ui/help_view/fairy/07.png","position":{"x":500,"y":200},"size":0.55},{"icon":"ui/help/ui_01.png","position":{"x":300,"y":65},"size":1}]	[{"type":2,"position":{"x":520,"y":55},"des":61003}]
3	Help	精灵进阶的帮助	60003	1	[{"icon":"ui/help_view/fairy/05.png","position":{"x":50,"y":200},"size":1},{"icon":"ui/help_view/fairy/06.png","position":{"x":500,"y":205},"size":1},{"icon":"ui/help_view/fairy/21.png","position":{"x":130,"y":200},"size":1},{"icon":"ui/help_view/fairy/21.png","position":{"x":400,"y":200},"size":1},{"icon":"ui/help_view/fairy/08.png","position":{"x":270,"y":200},"size":0.55},{"icon":"ui/help/ui_01.png","position":{"x":300,"y":65},"size":1},{"icon":"ui/help_view/fairy/23.png","position":{"x":760,"y":200},"size":0.8}]	[{"type":1,"position":{"x":520,"y":55},"des":61004}]
4	Help	精灵升级的帮助	60004	2	[{"icon":"ui/help/ui_01.png","position":{"x":100,"y":65},"size":1},{"icon":"ui/help_view/fairy/10.png","position":{"x":405,"y":300},"size":0.7},{"icon":"ui/help_view/fairy/14.png","position":{"x":220,"y":220},"size":0.65},{"icon":"ui/help/ui_02.png","position":{"x":905,"y":330},"size":0.9},{"icon":"ui/help_view/fairy/15.png","position":{"x":750,"y":230},"size":0.55},{"icon":"ui/help_view/fairy/24.png","position":{"x":750,"y":90},"size":0.55}]	[{"type":2,"position":{"x":270,"y":35},"des":61005},{"type":2,"position":{"x":720,"y":330},"des":61006}]
5	Help	结晶、质点的帮助	60005	2	[{"icon":"ui/help_view/fairy/11.png","position":{"x":370,"y":350},"size":0.8},{"icon":"ui/help_view/fairy/16.png","position":{"x":200,"y":200},"size":0.8},{"icon":"ui/help_view/fairy/17.png","position":{"x":180,"y":80},"size":0.5},{"icon":"ui/help/ui_01.png","position":{"x":420,"y":100},"size":1},{"icon":"ui/help_view/fairy/18.png","position":{"x":780,"y":180},"size":0.5},{"icon":"ui/help_view/fairy/12.png","position":{"x":920,"y":300},"size":0.8},{"icon":"ui/help/ui_02.png","position":{"x":780,"y":330},"size":1}]	[{"type":2,"position":{"x":200,"y":330},"des":61007},{"type":2,"position":{"x":780,"y":30},"des":61008}]
999	Help	通用未完成	60999	1	[{"icon":"ui/help/ui_06.png","position":{"x":100,"y":90},"size":0.4},{"icon":"icon/role/mood/101/1.png","position":{"x":240,"y":240},"size":1},{"icon":"icon/role/mood/102/2.png","position":{"x":420,"y":240},"size":1},{"icon":"icon/role/mood/103/2.png","position":{"x":600,"y":240},"size":1},{"icon":"icon/role/mood/105/5.png","position":{"x":780,"y":240},"size":1}]	[{"type":2,"position":{"x":320,"y":40},"des":61999}]
