ID	备注	精灵名字	精灵名字(统一字段用)	称号名字	识别名	英文名	识别代号	名字图片	称号图片	配音	展示背景图颜色	背景颜色值	所属精灵(看伴娘数据role表)	物品类型	所属背包	对应碎片合成	重复英雄回收	卡牌初始品质	长条型头像（抽卡预览用）	语音喊话	定位（1输出-2防御-3辅助）	六芒星阵图	基本描述	战斗描述	角色标签	角色列表显示	排位顺序	默认皮肤	可选皮肤组	突破属性项（ID*100+突破等级=growup表ID）	品质属性(ID*100+hero品质=HeroProgress表ID)	经验道具	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	限制选择范围（X范围）	是否播放出场效果	价值	进攻系数	防御系数	巡逻距离	巡逻距离	武器类型（1天使2恶魔3装置）	星级技能点（1-5星）	天使觉醒消耗（1-5星）	角色上场冷却时间	倒地时间	精灵技能标识（联机副本使用）	天使技能索引ID
id	name	name	nameTextId	title	enName	enName2	code	namePic	titlePic	cv	color	color2	role	superType	bagType	compose	convert	rarity	summonIcon	soundPic	class	pentacle	describe	battleTips	label	site	order	defaultSkin	optionalSkin	attribute	attribute2	expitem	area	limitArea	bornEffect	money	attackData	defenseDate	patrolFar	patrolNear	weaponType	skillPoint	angelWakeCons	enterField	floorTime	heroLimitType	AngelID
number	comment	number	string	number	string	string	string	string	string	string	string	numbers	number	number	number	json	vjson	number	string	string	number	string	number	numbers	numbers	number	number	number	numbers	number	number	numbers	string	number	number	number	number	number	number	number	number	json	json	number	number	number	number
int													int	int	int	map	map	int								int	int	int	int[]	int	int	int[]			int	int					int	list	list			int	int
110101	十香	30101	30101	30111	Princess 	Yatogami touka	1201001	icon/hero/namepic/10101.png	icon/hero/titlepic/10101.png	1200022	ui/711.png	85-41-146	101	1	1	{510301:15}	{510301:5}	2	Icon/role/face/up/101.png	icon/hero/Lines/10.png	2	icon/system/110101.png	30112	30113-30114-30115	4-5-6	1	100	1101011	1101011-1101012-1101013	1011	1011	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570018:200},{570018:500},{570018:1000},{570018:2000}]	16000	0	1	1101
110103	反转十香	30101	30101	30131	Princess 	Yatogami touka	1201002	icon/hero/namepic/10101.png	icon/hero/titlepic/10101.png	1200022	ui/711.png	85-41-146	101	1	1	{510303:60}	{510303:20}	4	Icon/role/face/up/101.png	icon/hero/Lines/10.png	2	icon/system/110103.png	30112	30113-30114-30115	4-5-6	2	100	1101031	1101031	1011	1013	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570028:100},{570028:200},{570028:400},{570028:600}]	16000	0	1	3010
110201	AST1折纸	30201	30201	30211	Angel	Tobiichi origami	1201003	icon/hero/namepic/10201.png	icon/hero/titlepic/10201.png	1200029	ui/715.png	69-91-141	102	1	1	{510304:10}	{510304:3}	1	Icon/role/face/up/102.png	icon/hero/Lines/1.png	1	icon/system/110201.png	30212	30213-30214-30215	4-5-11	3	85	1102011	1102011	1021	1021	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	3	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570008:200},{570008:500},{570008:1000},{570008:2000}]	13000	0	2	1102
110301	四糸乃	30301	30301	30311	Hermit	Yoshino	1201004	icon/hero/namepic/10301.png	icon/hero/titlepic/10301.png	1200023	ui/713.png	27-112-63	103	1	1	{510306:10}	{510306:3}	1	Icon/role/face/up/103.png	icon/hero/Lines/4.png	3	icon/system/110301.png	30312	30313-30314-30315	9-14-6	4	80	1103011	1103011	1031	1031	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-150_-30_300_60	50	1		9000	5000	500	100	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570012:200},{570012:500},{570012:1000},{570012:2000}]	10000	0	3	1103
110401	狂三	30401	30401	30411	Nightmare	Tokisaki kurumi	1201005	icon/hero/namepic/10401.png	icon/hero/titlepic/10401.png	1200024	ui/714.png	131-17-25	104	1	1	{510307:60}	{510307:20}	4	Icon/role/face/up/104.png	icon/hero/Lines/3.png	1	icon/system/110401.png	30412	30413-30414-30415	4-5-8	5	75	1104011	1104011-1104013	1041	1041	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-150_-30_300_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570011:200},{570011:500},{570011:1000},{570011:2000}]	10000	0	4	1104
110501	琴里	30501	30501	30511	Efreet 	Itsuka kotori	1201006	icon/hero/namepic/10501.png	icon/hero/titlepic/10501.png	1200025	ui/710.png	141-36-59	105	1	1	{510308:60}	{510308:20}	4	Icon/role/face/up/105.png	icon/hero/Lines/5.png	2	icon/system/110501.png	30512	30513-30514-30515	10-5-7	6	70	1105011	1105011	1051	1051	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570013:200},{570013:500},{570013:1000},{570013:2000}]	13000	0	5	1105
110601	DEM真那	30601	30601	30611	Mana	Yakamiya mana	1201007	icon/hero/namepic/10601.png	icon/hero/titlepic/10601.png	1200031	ui/712.png	36-73-149	106	1	1	{510309:15}	{510309:5}	2	Icon/role/face/up/106.png	icon/hero/Lines/12.png	1	icon/system/110601.png	30612	30613-30614-30615	8-15-16	7	65	1106011	1106011-1106012	1061	1061	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-150_-30_300_60	0	1		9000	5000	100	10	3	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570008:200},{570008:500},{570008:1000},{570008:2000}]	10000	0	6	1106
110701	耶俱矢	30701	30701	30711	Berserk	Yamai kaguya	1201008	icon/hero/namepic/10701.png	icon/hero/titlepic/10801.png	1200026	ui/924.png	158-60-30	107	1	1	{510311:30}	{510311:10}	3	Icon/role/face/up/107.png	icon/hero/Lines/5.png	1	icon/system/110701.png	30712	30713-30714-30715	10-5-7	8	60	1107011	1107011	1071	1071	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570016:200},{570016:500},{570016:1000},{570016:2000}]	13000	0	7	1107
110801	夕弦	30801	30801	30811	Berserk	Yamai yuzuru	1201009	icon/hero/namepic/10801.png	icon/hero/titlepic/10801.png	1200027	ui/923.png	158-60-30	108	1	1	{510312:30}	{510312:10}	3	Icon/role/face/up/108.png	icon/hero/Lines/12.png	1	icon/system/110801.png	30812	30813-30814-30815	8-15-16	9	55	1108011	1108011	1081	1081	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-150_-30_300_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570016:200},{570016:500},{570016:1000},{570016:2000}]	10000	0	8	1108
110901	艾伦	30901	30901	30911	Ellen	Meizasu	1201010	icon/hero/namepic/10101.png	icon/hero/titlepic/10101.png	1200051	ui/711.png	85-41-146	109	1	1	{510313:60}	{510313:20}	4	Icon/role/face/up/101.png	icon/hero/Lines/10.png	2	icon/system/110901.png	30112	30113-30114-30115	4-5-6	10	100	1109011	1109011	1011	1091	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	3	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570008:200},{570008:500},{570008:1000},{570008:2000}]	13000	0	9	1109
111001	诱宵美九	31001	31001	31011	Diva	Izayoi miku	1201011	icon/hero/namepic/10201.png	icon/hero/titlepic/10201.png	1200028	ui/715.png	69-91-141	110	1	1	{510314:30}	{510314:10}	3	Icon/role/face/up/102.png	icon/hero/Lines/1.png	1	icon/system/111001.png	30212	30213-30214-30215	4-5-11	11	85	1110011	1110011	1021	1101	510101-510102-510103-510104-510105-510106-510107-510108-510109-510110	-130_-30_260_60	0	1		9000	5000	100	10	1	[{13:0},{13:3000},{13:4000},{13:6000},{13:10000}]	[{570017:200},{570017:500},{570017:1000},{570017:2000}]	13000	0	10	1110
