ID	关卡备注	精灵ID(读取Hero表中ID)	备注	灵装(读取heroskin表中ID)	精灵等级(与突破等级对应，=10+突破等级*5)	进阶品质(1-B,2-A,3-AA,4-S,5-SS,6-SSS,7-EX)	突破等级(0~10)	携带质点(质点ID+质点Lv，Cost=10+(精灵等级-1)*1)	天使/装置强化情况(填angerskillFunction表的ID)	精灵战力(通过公式计算后直接填数值)	试用开始时间	试用结束时间
id	dungeonLevel	heroID	name	skinID	level	rarity	breakthrough	sephiroth	angelUp	powerValue	dateBegin	dateEnd
number	comment	number	comment	number	number	number	number	json	numbers	number	json	json
int		int		int	int	int	int	list	int[]	int	map	map
10010202	第1章第6关	110101	十香	1101014	15	2	0			818		
2		110701	0	1107011	35	4	5	[[240045,10],[240046,10],[240047,10]]		8888		
3		110801	夕弦	1108011	35	5	6	[[240045,10],[240046,10],[240047,10]]		8888		
4		110101	校服十香	1101012	35	4	5	[[240045,10],[240046,10],[240047,10]]	1011038-1011020-1012062	8888		
10010104	第1章第4关	110101	十香	1101011	10	2	0					
10010105	第1章第4关	110101	校服十香	1101012	35	2	0					
5	撞击关卡兔子	110301	撞击关卡兔子	1103012	10	2	0					
6	四系乃	110301	四系乃	1103011	35	4	5	[[240045,10],[240046,10],[240047,10]]		8888		
10020103	四系乃飞行	110301		1103013	15	1	0			818		
												
												
												
1000	第1章第W1(1-3)  101101   1	110101	十香	1101011	1	2	0		110101221-110103181-110104141-110102111			
												
												
1001	第1章第W1(1-3) 101104  1	110101	十香	1101011	1	2	0		110101221-110103181-110104141-110102111			
1002	第1章第W1(1-4) 101105  1	110101	十香	1101011	1	2	0		110101221-110103181-110104141-110102111			
1003	第1章第W2(2-3) 101208	110101	校服十香	1101012	1	1	0					
												
2001	第二章W1(2-2) 102102	110301	四系乃	1103011	10	1	0		110301121-110302201-110303091-110304041-110301081-110301181	8888		
2002	第二章W1(2-3) 102103	110301	四系乃	1103011	10	1	0		110301121-110302201-110303091-110304041-110301081-110301181	8888		
2003	第二章W2(2-6) 102206	110301	四系乃	1103011	10	1	0			8888		
2004	第二章W2(2-8) 102207	110301	四系乃	1103011	10	1	0			8888		
2005	第二章W3(2-11) 102312	110101	校服十香	1101012	15	2	0		110101221-110103181-110104141-110102111	8888		
2006	第二章W3(2-12) 102313	110101	校服十香	1101012	15	2	0		110101221-110103181-110104141-110102111	8888		
												
3001	第三章W1(3-2) 103102	110401	狂三	1104011	11	2	0		110401151-110402061-110403051-110404241-110401131-110401071	818		
3002	第三章W1(3-3) 103104	110601	真娜	1106011	11	2	0		110601021-110601141-110601131-110602401-110603111-110604191	818		
3003	第三章W2(3-6) 103208	110401	狂三	1104011	12	2	0			818		
3004	第三章W2(3-9) 103211	110601	真娜	1106011	12	2	0			818		
3005	第三章W3(3-11) 103313	110101	十香	1101011	13	2	0			818		
3006	第三章W3(3-12) 103314	110201	折纸	1102011	13	2	0			818		
3007	第三章W3(3-13)  103315	110601	真娜	1106011	15	2	9		110601021-110601141-110601131-110602401-110603111-110604191	818		
3008	第三章W3(3-14) 103316	110501	琴里	1105011	15	3	9		110501341-110502221-110503341-110504341-110501051-110501081	818		
												
4001	第四章W3(4-10) 104312	110501	琴里	1105011	20	3	0		110501341-110502221-110503341-110504341-110501051-110501081	818		
4002	第四章W3(4-11) 104313	110501	琴里	1105011	20	3	0		110501341-110502221-110503341-110504341-110501051-110501081	818		
4003	第四章W3(4-12) 104314	110101	十香	1101011	20	2				818		
												
5001	第五章W1(5-2) 105103	110801	夕炫	1108011	30	3	0		110801191-110802131-110803181-110804081-110801071-110801111	818		
5002	第五章W3(5-4) 105105	110701	耶俱失	1107011	30	3	0		110701121-110702051-110703031-110704121-110701051-110701341	818		
5003	第五章W3(5-4)	110801	夕炫	1108011	30	2	5			818		
5004	第五章W3(5-13)	110101	十香	1101011	30	2	5					
5005	第五章W3(5-14)	110101	十香	1101011	30	2	5					
5006	第五章W4(5-19)105421	110801	夕炫	1108011	30	2	5			818		
5007	第五章W4(5-19)105421	110701	耶俱失	1107011	30	2	5			818		
