顺序ID	名称	模型ID	模型大小	模型坐标偏移
id	name	paint	paintSize	paintPosition
number	comment	string	number	json
int	comment	string	int	map
1101011	十香	modle/hero/paintshow_10101/paintshow_10101	0.9	{"x":120,"y":-680}
1101012	十香校服	modle/hero/paintshow_10101_2/paintshow_10101_2	0.85	{"x":160,"y":-780}
1101013	十香生日	modle/hero/paintshow_10104/paintshow_10104	0.85	{"x":160,"y":-600}
1101014	十香反转	modle/hero/paintshow_10103/paintshow_10103	0.85	{"x":160,"y":-840}
1102011	AST1折纸	modle/hero/paintshow_10201/paintshow_10201	0.85	{"x":150,"y":-760}
1103011	四糸乃	modle/hero/paintshow_10301/paintshow_10301	0.9	{"x":170,"y":-570}
1104011	狂三	modle/hero/paintshow_10401/paintshow_10401	0.9	{"x":160,"y":-610}
1104013	狂三哥特	modle/hero/paintshow_10403/paintshow_10403	0.9	{"x":150,"y":-680}
1105011	琴里	modle/hero/paintshow_10501/paintshow_10501	0.9	{"x":120,"y":-700}
1106011	DEM真那	modle/hero/paintshow_10601/paintshow_10601	0.9	{"x":190,"y":-570}
1106012	猫娘真那	modle/hero/paintshow_10602_3/paintshow_10602_3	0.9	{"x":140,"y":-660}
1107011	耶俱矢	modle/hero/paintshow_10701/paintshow_10701	0.9	{"x":120,"y":-720}
1108011	夕弦	modle/hero/paintshow_10801/paintshow_10801	0.9	{"x":190,"y":-660}
1109011	艾伦	modle/hero/paintshow_10901/paintshow_10901	0.9	{"x":160,"y":-690}
1110011	诱宵美九	modle/hero/paintshow_11001/paintshow_11001	0.9	{"x":150,"y":-630}
