id	备注策划看	获取规则(1受到伤害2非攻击、闪避动作时，自动恢复)	获取参数(时间间隔-获得值)	消耗规则（1定值时，任意技能，会激活buff2受击消耗3超过x秒未命中敌人时自动消耗4未受击、攻击X秒自动消耗）	消耗参数(1定值（上限万份比-消耗值（上限万份比）2受伤间隔（毫秒）-消耗值3未攻击间隔（毫秒）-消耗间隔（毫秒）-消耗值4未受击攻击时间（毫秒）-消耗间隔（毫秒）-消耗值	buffer触发	能量UI表现	能量名字
id	des	getType	getPrams	consumeType	consumePrams	triggerBuff	powerUI	powerName
number	sting	number	numbers	number	numbers	numbers	number	number
int								
1	琴里：怒气(总共100点)	1	500-3				4	2300101
2	美九：音符值(总共8点)			1	10000-10000	6032	7	2300102
3	反转十香：暗能量(总共100点)						5	2300103
4	鸢一折纸(总共100点)	2	500-5				6	2300104
5	八舞耶俱矢(总共100点)			2	500-10		2	2300105
6	时崎狂三(总共100点)						3	2300106
7	爱莲(总共100点)						1	2300107
8	四糸乃			1	10000-10000	6006-6008	8	2300108
9	八舞夕弦						2	2300109
10	崇宫真那			3	5000-1000-5		9	2300110
