ID	策划看	进阶消耗	基础属性	成长属性	解锁技能
id	dec	consume	baseAttr	upAttr	openAngelSkillTree
number	comment	vjson	json	json	numbers
int		map	map	map	int[]
101101	十香		{1:24192,2:6048,3:4340,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:2419,2:423,3:362,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
101102	十香	{510301:5}	{1:26611,2:6652,3:4774,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:2660,2:465,3:398,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
101103	十香	{510301:15}	{1:29030,2:7257,3:5208,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:2902,2:507,3:434,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
101104	十香	{510301:30}	{1:31449,2:7862,3:5642,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:3144,2:549,3:470,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
101105	十香	{510301:60}	{1:33868,2:8466,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:3386,2:591,3:506,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
101106	十香	{510301:100}	{1:36287,2:9071,3:6510,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:3628,2:633,3:542,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
101107	十香	{510301:150}	{1:38707,2:9676,3:6944,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:0}	{1:3870,2:676,3:579,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
101301	反转十香		{1:26040,2:7896,3:4956,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2604,2:455,3:390,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
101302	反转十香	{510303:5}	{1:28644,2:8685,3:5451,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2864,2:500,3:429,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
101303	反转十香	{510303:15}	{1:31248,2:9475,3:5947,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3124,2:546,3:468,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
101304	反转十香	{510303:30}	{1:33852,2:10264,3:6442,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3385,2:591,3:507,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
101305	反转十香	{510303:60}	{1:36456,2:11054,3:6938,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3645,2:637,3:546,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
101306	反转十香	{510303:100}	{1:39060,2:11843,3:7433,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3905,2:682,3:585,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
101307	反转十香	{510303:150}	{1:41664,2:12633,3:7929,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4166,2:728,3:624,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
102101	AST1折纸		{1:24192,2:6048,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2419,2:423,3:362,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
102102	AST1折纸	{510304:5}	{1:26611,2:6652,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2660,2:465,3:398,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
102103	AST1折纸	{510304:15}	{1:29030,2:7257,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2902,2:507,3:434,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
