序列ID	看板娘ID	好感度等级	默认待机动作	动作时长	触摸部位	触发条件	基础语音	基础语音动作	动作时长	台词	触发条件	特别语音	特别语音动作	动作时长	台词
id	modelId	favor	defaultAct	time0	position	condition1	voice1	action1	time1	lines1	condition2	voice2	action2	time2	lines2
number	number	number	string	string	string	string	string	string	string	number	string	string	string	string	number
int	int	int	string	string	string	string	string	string	string	int	string	string	string	string	int
1	210101	1	Idle	6	head	1;1	TOUKA_01	Id_favor1_1	6	10001	0	TOUKA_01	0	0	0
2	210101	1	Idle	6	body	1;1	TOUKA_02	Id_favor1_2	6	10002	0	TOUKA_02	0	0	0
3	210101	1	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
4	210101	2	Idle	6	head	1;1	TOUKA_01	Id_favor1_1	6	10001	0	TOUKA_01	0	0	0
5	210101	2	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
6	210101	2	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
7	210101	3	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
8	210101	3	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
9	210101	3	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
10	210101	4	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
11	210101	4	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
12	210101	4	Idle	6	tui	1;1	TOUKA_09	Id_favor4_1	6	10004	0	TOUKA_09	0	0	0
13	210101	5	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
14	210101	5	Idle	6	body	1;1	TOUKA_11	Id_favor5_1	6	10002	0	TOUKA_11	0	0	0
15	210101	5	Idle	6	tui	1;1	TOUKA_09	Id_favor4_1	6	10004	0	TOUKA_09	0	0	0
16	210104	1	Idle	6	head	1;1	TOUKA_01	Id_favor1_1	6	10001	0	TOUKA_01	0	0	0
17	210104	1	Idle	6	body	1;1	TOUKA_02	Id_favor1_2	6	10002	0	TOUKA_02	0	0	0
18	210104	1	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
19	210104	2	Idle	6	head	1;1	TOUKA_01	Id_favor1_1	6	10001	0	TOUKA_01	0	0	0
20	210104	2	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
21	210104	2	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
22	210104	3	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
23	210104	3	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
24	210104	3	Idle	6	tui	1;1	TOUKA_04	Id_favor1_3	6	10004	0	TOUKA_04	0	0	0
25	210104	4	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
26	210104	4	Idle	6	body	1;1	TOUKA_03	Id_favor2_1	6	10002	0	TOUKA_03	0	0	0
27	210104	4	Idle	6	tui	1;1	TOUKA_09	Id_favor4_1	6	10004	0	TOUKA_09	0	0	0
28	210104	5	Idle	6	head	1;1	TOUKA_14	Id_favor3_1	6	10001	0	TOUKA_14	0	0	0
29	210104	5	Idle	6	body	1;1	TOUKA_11	Id_favor5_1	6	10002	0	TOUKA_11	0	0	0
30	210104	5	Idle	6	tui	1;1	TOUKA_09	Id_favor4_1	6	10004	0	TOUKA_09	0	0	0
31	10107	1	id_favor1	6	head	1;1	TOUKA_01	id_favor1_1	6	10001	0	0	0	0	0
32	10107	1	id_favor1	6	body	1;1	TOUKA_02	id_favor1_2	6	10002	0	TOUKA_04	Id_favor1_6	6	10006
33	10107	1	id_favor1	6	tui	1;1	TOUKA_03	id_favor1_5	6	10004	0	0	0	0	0
34	10107	2	id_favor2	6	head	1;1	TOUKA_29	id_favor2_1	6	10001	0	0	0	0	0
35	10107	2	id_favor2	6	body	1;1	TOUKA_05	id_favor2_2	6	10002	0	0	0	0	0
36	10107	2	id_favor2	6	tui	1;1	TOUKA_07	id_favor2_4	6	10004	0	TOUKA_14	Id_favor2_6	6	10006
37	10107	3	id_favor3	6	head	1;1	TOUKA_09	id_favor3_1	6	10001	0	TOUKA_10	Id_favor3_6	6	10006
38	10107	3	id_favor3	6	body	1;1	TOUKA_11	id_favor3_3	6	10002	0	0	0	0	0
39	10107	3	id_favor3	6	tui	1;1	TOUKA_08	id_favor3_5	6	10004	0	0	0	0	0
40	10107	4	id_favor3	6	head	1;1	TOUKA_09	id_favor3_1	6	10001	0	TOUKA_10	Id_favor3_6	6	10006
41	10107	4	id_favor3	6	body	1;1	TOUKA_11	id_favor3_3	6	10002	0	0	0	0	0
42	10107	4	id_favor3	6	tui	1;1	TOUKA_08	id_favor3_5	6	10004	0	0	0	0	0
43	10107	5	id_favor3	6	head	1;1	TOUKA_09	id_favor3_1	6	10001	0	TOUKA_10	Id_favor3_6	6	10006
44	10107	5	id_favor3	6	body	1;1	TOUKA_11	id_favor3_3	6	10002	0	0	0	0	0
45	10107	5	id_favor3	6	tui	1;1	TOUKA_08	id_favor3_5	6	10004	0	0	0	0	0
46	210204	1	Idle	6	head	1;1	ORIGAMI_11	Id_favor1_1	6	10001	0	ORIGAMI_11	0	0	0
47	210204	1	Idle	6	body	1;1	ORIGAMI_10	Id_favor1_2	6	10002	0	ORIGAMI_10	0	0	0
48	210204	1	Idle	6	tui	1;1	ORIGAMI_09	Id_favor1_3	6	10004	0	ORIGAMI_09	Id_favor1_4	6	10006
49	210204	2	Idle	6	head	1;1	ORIGAMI_11	Id_favor1_1	6	10001	0	ORIGAMI_11	Id_favor2_4	6	10006
50	210204	2	Idle	6	body	1;1	ORIGAMI_04	Id_favor2_1	6	10002	0	ORIGAMI_04	0	0	0
51	210204	2	Idle	6	tui	1;1	ORIGAMI_09	Id_favor1_3	6	10004	0	ORIGAMI_09	0	0	0
52	210204	3	Idle	6	head	1;1	ORIGAMI_18	Id_favor3_1	6	10001	0	ORIGAMI_18	0	0	0
53	210204	3	Idle	6	body	1;1	ORIGAMI_04	Id_favor2_1	6	10002	0	ORIGAMI_04	Id_favor3_4	6	10006
54	210204	3	Idle	6	tui	1;1	ORIGAMI_09	Id_favor1_3	6	10004	0	ORIGAMI_09	0	0	0
55	210204	4	Idle	6	head	1;1	ORIGAMI_18	Id_favor3_1	6	10001	0	ORIGAMI_18	0	0	0
56	210204	4	Idle	6	body	1;1	ORIGAMI_04	Id_favor2_1	6	10002	0	ORIGAMI_04	Id_favor3_4	6	10006
57	210204	4	Idle	6	tui	1;1	ORIGAMI_19	Id_favor4_1	6	10004	0	ORIGAMI_19	0	0	0
58	210204	5	Idle	6	head	1;1	ORIGAMI_18	Id_favor3_1	6	10001	0	ORIGAMI_18	0	0	0
59	210204	5	Idle	6	body	1;1	ORIGAMI_12	Id_favor5_1	6	10002	0	ORIGAMI_12	Id_favor3_4	6	10006
60	210204	5	Idle	6	tui	1;1	ORIGAMI_19	Id_favor4_1	6	10004	0	ORIGAMI_19	0	0	0
61	210301	1	Idle	6	head	1;1	YOSHINO_07-1	Id_favor1_1	6	10001	0	YOSHINO_07-1	0	0	0
62	210301	1	Idle	6	body	1;1	YOSHINO_06	Id_favor1_2	6	10002	0	YOSHINO_06	Id_favor1_4	6	10006
63	210301	1	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	0	0	0
64	210301	2	Idle	6	head	1;1	YOSHINO_07-1	Id_favor1_1	6	10001	0	YOSHINO_07-1	Id_favor2_4	6	10006
65	210301	2	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
66	210301	2	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	0	0	0
67	210301	3	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
68	210301	3	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
69	210301	3	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	Id_favor3_4	6	10006
70	210301	4	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
71	210301	4	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
72	210301	4	Idle	6	tui	1;1	YOSHINO_10	Id_favor4_1	6	10004	0	YOSHINO_10	Id_favor3_4	6	10006
73	210301	5	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
