id	界面名称	备注	function表id	参数	开放等级	未开放时的默认剧情{类型(1提示 2电话提示 3约会剧本)，文本id/剧情id}	连点次数	特殊剧情{类型，文本id/剧情id}
id	InterfaceName	comment	funcId	parameter	openLevel	story1	repeatTimes	story2
number	comment	comment	number	json	number	json	number	json
int	comment	comment	int	map	int	map	int	map
1	副本类型-剧情		26		1			
2	副本类型-日常		27		10	[2,1452001,"sound/role/qinli/KOTORI_130.mp3"]		
3	召唤（主界面按钮）		20		5	[2,1452002,"sound/role/qinli/KOTORI_134.mp3"]		
4	好友（主界面按钮）	默认进入好友列表	28		8	[2,1452003,"sound/role/qinli/KOTORI_166.mp3"]		
5	约会（主界面按钮）		29		7			
6	精灵强化界面-精灵		30		3	[1,1451014]		
7	精灵强化界面-天使		31		9	[2,1452004,"sound/role/qinli/KOTORI_132.mp3"]		
8	精灵强化界面-质点		32		6	[2,1452005,"sound/role/qinli/KOTORI_128.mp3"]		
9	城建（主界面按钮）		33		7	[2,1452006,"sound/role/qinli/KOTORI_128.mp3"]		
10	召唤主界面		34		5	[2,1451001]		
11	合成界面		35		19	[1,1451002]		
12	商店-普通		19	[100000]	5	[1,1451003]		
13	商店-联机商店		19	[120000]	20	[1,1451004]		
14	约会送礼物界面		36		7			
16	战斗准备界面		37		1			
17	7日签到界面		38		5	[2,1451005]		
18	副本类型-活动		39		15	[2,1452007,"sound/role/qinli/KOTORI_110.mp3"]		
19	xx任务（跳转用）		23		2			
20	城建建筑界面		40		7	[2,1452008,"sound/role/qinli/KOTORI_110.mp3"]		
21	副本类型-精灵		41		99	[2,1452009,"sound/role/qinli/KOTORI_149.mp3"]		
22	聊天（主界面按钮）		42		8	[2,1452010,"sound/role/qinli/KOTORI_145.mp3"]		
23	图鉴（主界面按钮）		43		7	[1,1451006]		
24	社团（主界面按钮）		44		99	[2,1452011,"sound/role/qinli/KOTORI_143.mp3"]		
25	背包（主界面按钮）		45		1			
26	邮件（主界面按钮）		46		1			
27	商店-碎片		19	[110000]	12	[1,1451007]		
28	商店-无尽		19	[130000]	15	[1,1451008]		
29	商店（主界面按钮）	默认进入普通商店	19		5	[2,1452012,"sound/role/qinli/KOTORI_134.mp3"]		
30	战斗（主界面按钮）		47		1			
31	充值（主界面按钮）		1		5	[2,1452013,"sound/role/qinli/KOTORI_154.mp3"]		
32	勋章馆		48		1			
33	商店-卡巴拉商店		19	[140000]	24	[1,1451009]		
34	商店-超市商店		19	[150000]	7	[1,1451010]		
35	活动		6		5	[1,1451012]		
36	精灵强化界面-结晶		53		4	[1,1451013]		
