ID	任务所属质点世界(备注，策划看)	任务类型(1003-击杀特定敌人([[关卡ID，[怪物ID，怪物数量]]包括Boss)，1001-击杀敌人总数([关卡ID,敌人总数])，1002-任务道具([任务道具ID,道具数量])，1004-区域探索([需求数量])，1005-通过关卡([关卡ID]，包括占领据点，任务剧情-战斗类型，1006-触发事件(不填参数，包括任务剧情))	任务检测参数(每个任务或事件配置参数不一样，具体按文档里的设计来定)	事件ID(kabalaevent表中的ID)	任务奖励(每个阶段任务完成后的奖励)	任务引导事件剧情(根据格子出现数量触发)	任务描述id
id	worldName	missionType	checkParam	eventID	missionAward	missionGuidePlot	missionDes
number	comment	number	json	number	json	number	number
int		int	list	int	map		int
10010001		1003	[6061003,4000,1]	1001001		1001	3002201
10010002		1002	[590101,1]	1001002		1002	3002202
10010003		1002	[590102,1]	1001003			3002203
10010004		1001	[6061001,3]	1001004			3002205
10010005		1004	[1]	1001005			3002207
10020001		1003	[6061003,4000,1]	1002001			3002201
10020002		1003	[6061003,4000,2]	1002002			3002206
10020003		1003	[6061003,4000,1]	1002003			3002206
10020004		1003	[6061003,4000,3]	1002004			3002206
10020005		1002	[500001,50]	1002005			3002204
10020006		1005	[6061003]	1002006			3002208
10020007		1005	[6061003]	1002007			3002208
10020008		1006		1002008			3002209
10030101		1006		1003101			3002209
10030102		1006		1003102			3002209
10030103		1006		1003103			3002209
10030104		1006		1003104			3002209
10030105		1006		1003105			3002209
10030201		1005	[6061008,5]	1003201			3002208
10030202		1005	[6061008,5]	1003202			3002208
10030203		1005	[6061008,5]	1003203			3002208
10030204		1005	[6061008,5]	1003204			3002208
10030205		1005	[6061008,5]	1003205			3002208
10030301		1002	[590101,10]	1003301			3002202
10030302		1002	[590101,10]	1003302			3002202
10030303		1002	[590101,10]	1003303			3002202
10030304		1002	[590101,10]	1003304			3002202
10030305		1002	[590101,10]	1003305			3002202
10030306		1002	[590101,10]	1003306			3002202
10030307		1002	[590101,10]	1003307			3002202
10030308		1002	[590101,10]	1003308			3002202
10030309		1002	[590101,10]	1003309			3002202
10030310		1002	[590101,10]	1003310			3002202
10030401		1001	[6061001,3]	1003401			3002205
10030402		1001	[6061002,3]	1003402			3002205
10030403		1001	[6061003,3]	1003403			3002205
10030404		1001	[6061004,3]	1003404			3002205
10030405		1001	[6061005,3]	1003405			3002205
10030406		1003	[6061001,4000,1]	1003406			3002206
10030407		1003	[6061002,4000,1]	1003407			3002206
10030408		1003	[6061003,4000,1]	1003408			3002206
10030409		1003	[6061004,4000,1]	1003409			3002206
10030410		1003	[6061005,4000,1]	1003410			3002206
10030501		1004	[121]	1003501			3002207
10030502		1004	[122]	1003502			3002207
10030503		1004	[123]	1003503			3002207
10030601		1003	[6061007,4040,1]	1003601			3002201
