ID	经验值	体力上限	升级恢复体力	精力上限	升级恢复精力	精灵强化经验	功能开放提示
id	playerExp	maxEnergy	recovery	maxVigour	recoveryVigour	heroExp	openDes
number	number	number	number	number	number	number	string
int	long	int	int	int	int	long	
1	6	60	10	60	10	5	
2	6	61	10	61	10	10	1453001
3	6	62	10	62	10	15	
4	6	63	10	63	10	20	1453002
5	7	64	10	64	10	40	1453003
6	14	65	10	65	10	60	1453004
7	21	66	10	66	10	80	1453005
8	28	67	10	67	10	100	1453006
9	35	68	10	68	10	120	1453007
10	42	69	10	69	10	140	1453008
11	64	70	10	70	10	200	
12	80	71	10	71	10	260	1453009
13	96	72	10	72	10	320	
14	112	73	10	73	10	380	
15	128	74	10	74	10	440	1453010
16	144	75	10	75	10	540	
17	160	76	10	76	10	640	
18	198	77	10	77	10	740	
19	216	78	10	78	10	840	1453011
20	234	79	10	79	10	940	1453012
21	261	80	10	80	10	1140	
22	288	81	10	81	10	1340	
23	315	82	10	82	10	1540	
24	342	83	10	83	10	1740	1453013
25	369	84	10	84	10	1940	
26	396	85	10	85	10	2240	
27	470	86	10	86	10	2540	
28	500	87	10	87	10	2840	
29	530	88	10	88	10	3140	
30	560	89	10	89	10	3440	
31	600	90	10	90	10	3840	
32	640	91	10	91	10	4240	
33	680	92	10	92	10	4640	
34	720	93	10	93	10	5040	
35	760	94	10	94	10	5440	
36	810	95	10	95	10	6040	
37	860	96	10	96	10	6640	
38	1001	97	10	97	10	7240	
39	1056	98	10	98	10	7840	
40	1111	99	10	99	10	8440	
41	1177	100	10	100	10	9240	
42	1243	101	10	101	10	10040	
43	1309	102	10	102	10	10840	
44	1375	103	10	103	10	11640	
45	1441	104	10	104	10	12440	
46	1518	105	10	105	10	13640	
47	1740	106	10	106	10	14840	
48	1824	107	10	107	10	16040	
49	1908	108	10	108	10	17240	
50	1992	109	10	109	10	18440	
51	2088	110	10	110	10	20040	
52	2184	111	10	111	10	21640	
53	2280	112	10	112	10	23240	
54	2376	113	10	113	10	24840	
55	2472	114	10	114	10	26440	
56	2580	115	10	115	10	28440	
57	2688	116	10	116	10	30440	
58	2796	117	10	117	10	32440	
59	2904	118	10	118	10	34440	
60		120	10	120	10		
