	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPicture1	insertPicture2	insertPicture3	skip	jump	comment	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effectPath	effectAction	loopEffcetPath	loopEffcetAction	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	number	numbers	comment	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	numbers	numbers	string	string	string	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	json	json	number	string	string	number	json	json	number	json	string	string
int	int	int	map	int	int													int[]																																																									int	int						map	map	int			int	map	map	int	map		
1011001	1001	7	{}		100			1	{}			{}	{}					1011002											{}											{}											{}										scene/bg/bg_black.png	1		1.2	-1	{}																{}	{}					{}	{}		{}		
1011002	1001	7	{}		100			1	{}			{}	{}					1011003											{}											{}											{}															{}												1	1			{}	{}		video/cg_main_baiqinlichuchang.mp4			{}	{}		{}		
1011003	1001	7	{}		100		低沉的引擎轰鸣声传入耳朵，疼痛让我意识到自己还活着。	1	{}			{}	{}					1011004											{}											{}											{}															{}					sound/EXA/FB_eff01.mp3											{}	{}					{}	{}		{}		
1011004	1001	7	{}		100		眼睛……睁不开……	1	{}			{}	{}					1011006											{}											{}											{}															{}						sound/dating_sound/dating_008.mp3										{}	{}					{}	{}		{}		
1011006	1001	7	{}		100		有脚步声……是谁……？	1	{}			{}	{}					1011007											{}											{}											{}															{}						sound/dating_sound/dating_008.mp3										{}	{}					{}	{}		{}		
1011007	1001	7	{}		100	陌生的男声	全体起立！@\n[司令官]，欢迎回舰。	1	{}			{}	{}					1011009											{}											{}											{}		0.1-7-9-5-0.024	4												{}			modle/bust/sounds/DP_01_kannazuki1.mp3													{}	{}					{}	{}		{}		
1011009	1001	7	{}		100	熟悉的女声	时间宝贵，先报告状况吧。	1	{}			{}	{}					1011010											{}											{}											{}															{}			modle/bust/sounds/DP_01_Kotori1.mp3													{}	{}					{}	{}		{}		
1011010	1001	7	{}		100		我努力撑开沉重的眼皮，想要看清在我面前说话的人。	1	{}			{}	{}					1011011											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011011	1001	7	{}		100	熟悉的女声	比起这些，回收的[秘密兵器]怎么样了？	1	{}			{}	{}					1011013											{}											{}											{}															{}			modle/bust/sounds/DP_01_Kotori3.mp3													{}	{}					{}	{}		{}		
1011013	1001	7	{}		100		1	1	{}			{}	{}					1011014											{}											{}											{}															{}												1	1			{}	{}		video/cg_main_heiqinlichuchang.mp4			{}	{}		{}		
1011014	1001	7	{}		100		1	1	{}			{}	{}					1011015											{}											{}											{}										scene/bg/bg_white.png			1.2	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
1011015	1001	7	{}		100		1	1	{}			{}	{}					1011016											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	15	{"x":170,"y":0}												1	1			{}	{}					{}	{}		{}		
1011016	1001	7	{}		100		我撑起身体，呆呆地看着周围陌生的一切。	1	{}			{}	{}					1011017											{}											{}											{}															{}	sound/bgm/date_013.mp3	70														{}	{}					{}	{}		{}		
1011017	1001	7	{}		100		充满科技感的装饰，超大的屏幕上看不懂的数据，这是我完全陌生的地方……	1	{}			{}	{}					1011018											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011018	1001	7	{}		100			1	{}			{}	{}					1011019											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
1011019	1001	7	{}		100		1	1	{}			{}	{}					1011020											{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
1011020	1001	7	{}		100	五河琴里	笨蛋，你愣着干什么？	1	{}			{}	{}					1011021		410505	3		Main_01_0001	1	0			2	{}	1.2										{}											{}		0.1-7-9-5-0.024	4												{}	sound/bgm/date_009.mp3	70		1												{}	{}					{}	{}		{}		
1011021	1001	7	{}		100		我惊讶地盯着眼前熟悉的娇小身影，却无法把她和我认识的人划上等号。	1	{}			{}	{}					1011022		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011022	1001	7	{}		100	五河琴里	没事吧？@还记得你自己的[名字]吗？	1	{}			{}	{}					1001011022		1			Main_01_0002	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1001011022	1001	7	{}		100			1	{}			{}	{}					1011023		1									{}											{}											{}															{}												1				{}	{}					{}	{}		{}		
1011023	1001	7	{}		100	1	记得。	1	{}			{}	{}				1	1011024		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011024	1001	7	{}		100	五河琴里	很好，那你还记得我是谁吗？	1	{}			{}	{}					1011025-1011026-1011027		1			Main_01_0003		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011025	1001	7	{}		100		唔……我们认识吗？	1	{}			{}	{}					1011029		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011026	1001	7	{}		100		琴里！琴里！我的老婆！	1	{}			{}	{}					1011028		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011027	1001	7	{}		100		当然……是我可爱的妹妹啊。	1	{}			{}	{}					1011036		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011028	1001	7	{}		100	五河琴里	令音，马上准备显像装置，看看他脑子是不是坏掉了。	1	{}			{}	{}					1011030		1			Main_01_0004		0				{}											{}											{}															{}	sound/bgm/date_009.mp3	70		1												{}	{}					{}	{}		{}		
1011029	1001	7	{}		100	五河琴里	 哈  啊  ！  ？  @ 你是金鱼吗？令音，带他下去检查。	1	{"scales":[{"start":0,"ends":7,"value":1.6}]}			{}	{}					1011030		1			Main_01_0005		0				{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011030	1001	7	{}		100	1	 等 …… 等 等 ！ 我想起来了，你是我妹妹琴里！	1	{"scales":[{"start":0,"ends":11,"value":1.6}]}			{}	{}					1011031		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
1011031	1001	7	{}		100	五河琴里	真是个笨蛋……@说起来，你为什么会出现在那种危险的地方？@还记得昏迷之前的事么？	1	{}			{}	{}					1011032		1			Main_01_0006	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011032	1001	7	{}		100		琴里……看起来跟以前不太一样了。	1	{}			{}	{}					1011033		1				1					{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011033	1001	7	{}		100		但这种情况下，只能老老实实回答她的问题。	1	{}			{}	{}					1011034		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011034	1001	7	{}		100			1	{}			{}	{}					1011035				3							{}											{}											{}															{}												1	1			{}	{}		video/cg_main_qinlixiaomanhua.mp4			{}	{}		{}		
1011035	1001	7	{}		100			1	{}			{}	{}					1011048											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.2	-1	{}																{}	{}					{}	{}		{}		
1011036	1001	7	{}		100	五河琴里	看样子脑袋也没摔坏吧。	1	{}			{}	{}					1011037		410505	3		Main_01_0007	1	0			2	{}	1.2										{}											{}															{}	sound/bgm/date_009.mp3	70														{}	{}					{}	{}		{}		
1011037	1001	7	{}		100		那是当然的啦！	1	{}			{}	{}					1011038		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011038	1001	7	{}		100	五河琴里	运气真好呢，要是这次的爆炸规模再大一些的话，或许就把你吹飞了。	1	{}			{}	{}					1011039		1			Main_01_0008		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011039	1001	7	{}		100	1	 对 了 ！ 那个女孩……@我遇见的那个女孩，她怎么样了？！	1	{"scales":[{"start":0,"ends":6,"value":1.6}]}			{}	{}				1	1011040		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011040	1001	7	{}		100	五河琴里	哦？你很在意她？	1	{}			{}	{}					1011041-1011042-1011043		1			Main_01_0009	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011041	1001	7	{}		100		她穿着奇怪的衣服，还想要杀我……	1	{}			{}	{}					1011059		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011042	1001	7	{}		100		正想问这个问题，那个女孩到底是谁？	1	{}			{}	{}					1011059		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011043	1001	7	{}		100		是啊！我要去救她！	1	{}			{}	{}					1011044		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011044	1001	7	{}		100	五河琴里	很好，你接下来的任务是通过“约会”封印那个精灵的力量。	1	{}			{}	{}					1011045		1			Main_01_0010	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011045	1001	7	{}		100	五河琴里	放心吧，我会集结Ratatoskr（拉塔托斯克）的全部力量支援你。	1	{}			{}	{}					1011046		1			Main_01_0011	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011046	1001	7	{}		100	1	噢……嗯……	1	{}			{}	{}					1011093		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011047	1001	7	{}		100		无论怎么看，那就是琴里——我的妹妹。@\n但外表、气质和说话的语气都变得有些陌生。	1	{}			{}	{}					1011048		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
