ID	章节	顺序	类型，1关卡，2视频，3对话剧本，4CG动画	参数	进入条件类型	进入条件参数
id	levelGroupId	order	type	argument	condType	condArgument
number	number	number	number	string	number	string
int	int	int	int	string	int	string
101	1001	1	3	1001	0	0
102	1001	2	1	100102	0	0
103	1001	3	3	1005	0	0
104	1001	4	3	1006	0	0
105	1001	5	3	1008	0	0
106	1001	6	1	100104	0	0
107	1001	7	3	1010	0	0
201	2001	1	3	2001	0	0
202	2001	2	3	2002	0	0
203	2001	3	1	100201	0	0
204	2001	4	3	2004	0	0
301	3001	1	3	2005	0	0
302	3001	2	1	100301	0	0
303	3001	3	3	2007	0	0
304	3001	4	3	2008	0	0
305	3001	5	1	100302	0	0
306	3001	6	3	2010	0	0
401	4001	1	3	3001	0	0
402	4001	2	1	100401	0	0
403	4001	3	3	3003	0	0
404	4001	4	3	3004	0	0
405	4001	5	3	3005	0	0
501	5001	1	3	3006	0	0
502	5001	2	1	100501	0	0
503	5001	3	3	3008	0	0
504	5001	4	1	100502	0	0
505	5001	5	3	3010	0	0
601	6001	1	3	4001	0	0
602	6001	2	1	100601	0	0
603	6001	3	3	4003	0	0
701	7001	1	3	4004	0	0
702	7001	2	1	100701	0	0
703	7001	3	3	4006	0	0
801	8001	1	3	5001	0	0
802	8001	2	3	5002	0	0
803	8001	3	1	100801	0	0
804	8001	4	3	5004	0	0
901	9001	1	3	5006	0	0
902	9001	2	3	5007	0	0
903	9001	3	1	100901	0	0
904	9001	4	3	5009	0	0
905	9001	5	1	100902	0	0
906	9001	6	3	5011	0	0
