怪物类型	名称	怪物基础属性	成长属性
id	name	baseAttr	upAttr
number	string	string	string
long	string	map	map
11	障碍物	{1:100,2:0,3:0,6:0,505:0,11:0,516:0}	{1:1,2:0,3:0}
1000	测试怪物	{1:60,2:150,3:30,6:10000,505:10000,11:30000,516:5000}	{1:10,2:30,3:4}
1001	【简单】普通怪近战防御	{1:15600,2:294,3:250,505:9500,506:500,507:500,508:550,6:10000,11:27000}	{1:3900,2:73,3:62,505:5,506:5,507:5,508:5}
1002	【简单】普通怪近战爆发	{1:9600,2:588,3:200,505:9500,506:500,507:550,508:450,6:10000,11:30000}	{1:2400,2:147,3:49,505:5,506:5,507:5,508:4}
1003	【简单】普通怪近战平衡	{1:12000,2:420,3:250,505:9500,506:500,507:500,508:500,6:10000,11:30000}	{1:3000,2:105,3:62,505:5,506:5,507:5,508:5}
1004	【简单】普通怪远程爆发	{1:9600,2:588,3:200,505:9500,506:500,507:525,508:500,6:10000,11:28500}	{1:2400,2:147,3:49,505:5,506:5,507:5,508:5}
1005	【简单】普通怪远程平衡	{1:13200,2:462,3:200,505:9500,506:525,507:500,508:500,6:10000,11:28500}	{1:3300,2:115,3:49,505:5,506:5,507:5,508:5}
1006	【简单】普通怪远程风筝	{1:14400,2:420,3:200,505:9025,506:575,507:450,508:450,6:10000,11:33000}	{1:3600,2:105,3:49,505:4,506:5,507:4,508:4}
1007	【简单】普通怪近战缓慢	{1:18000,2:504,3:250,505:8550,506:400,507:500,508:500,6:10000,11:18000}	{1:4500,2:126,3:62,505:4,506:4,507:5,508:5}
1008	【简单】普通怪近战敏捷	{1:12000,2:378,3:175,505:10450,506:600,507:600,508:400,6:10000,11:33000}	{1:3000,2:94,3:43,505:5,506:6,507:6,508:4}
1009	【简单】普通怪近战逃跑	{1:27600,2:420,3:25,505:9500,506:400,507:250,508:400,6:10000,11:45000}	{1:6900,2:105,3:6,505:5,506:4,507:2,508:4}
2001	【简单】高级怪近战防御	{1:23400,2:392,3:500,505:9500,506:500,507:500,508:550,6:10000,11:27000}	{1:5850,2:98,3:125,505:10,506:10,507:10,508:11}
