刷怪ID	关卡备注（策划看）	关卡备注（策划看）	怪物ID	朝向	怪池ID(怪池ID+怪池刷出怪物数量)	等级（通过skillEffect触发的怪物等级跟随召唤者）	波次	刷怪器类型(1-常规，即现有类型；2-循环，3-定时，4-极限)	刷怪轮数(以所有波次刷完为1轮)	定时(循环刷怪，极限刷怪的下一轮怪刷出的等待时间；定时刷怪刷出下一轮怪的间隔时间)	刷怪暂停条件类型(1-击杀能力检测，2-数量上限检测)	刷怪暂停条件类型参数(击杀能力检测填间隔时间，单位秒；数量上限检测填存活怪物数量上限)	刷怪位置（1随机刷新，2地图中心刷新，3地图左侧刷新，4地图右侧刷新）	是否预警	助战角色是否出现（0或不配时不刷新助战角色。1刷新助战角色）
id	name	namelevel	fixedMonster	finalDir	randomMonster	level	wave	type	round	timing	pauseType	pauseParam	place	warning	helpPerson
number	string	string	numbers	numbers	vjson	numbers	numbers	number	number	number	number	number	numbers	boolean	boolean
int	string	string	int[]		map	int[]	int[]	int	int	int	int	int	int[]		
															
1011	第一章简单模式	第一章W1(1-1)简单波1	2	2		1	1	1	1				1	0	
1012		第一章W1(1-1)简单波2	1-1	2		1	1	1	1				1	0	
1013		第一章W1(1-1)简单波3	1-1	2		1	1	1	1				1	0	
1014		第一章W1(1-1)简单波4	4-4-4-4	4-2-4-2		1	1	1	1				1	0	
1015		第一章W1(1-1)简单波5	3	2		1	1	1	1				1	0	1
															
1111		第一章W1(1-4)简单波1	1010-1010-1010-1010	2		1	1	1	1				1	0	
1112		第一章W1(1-4)简单波2	5-5-5-5	4		1	1	1	1				1	0	
1113		第一章W1(1-4)简单波3	6-1010-1010-1010	2		1	1	1	1				1	0	
1114		第一章W1(1-4)简单波4	5-5-5	4-4-4		1	1	1	1				1	0	1
															
1211		第一章W1(1-6)简单波1	1010-1010-1020	2		1	1	1	1				1	0	
1212		第一章W1(1-6)简单波2	1010-1010-1050	2		1	1	1	1				1	0	
1213		第一章W1(1-6)简单波3	620402	2		1	1	1	1				1	0	
1214		第一章W1(1-6)简单波4	1010-1010-1082-1050	2		1	1	1	1				1	0	
1215		第一章W1(1-6)简单波5	1020-1020	2		1	1	1	1				1	0	1
															
1511		第一章W2(1-8)简单波1	1082-1050-1050	4-2-2		3	1	1	1				1	0	
1512		第一章W2(1-8)简单波2	1010-1010-1020-1020	4		3	1	1	1				1	0	
1513		第一章W2(1-8)简单波3	1010-1010-1050-1050	2		3	1	1	1				1	0	1
1514		第一章W2(1-8)简单波4	1060-1010-1010-1050	2		3	1	1	1				1	0	
															
101101	第一章困难模式	新1-1困难波1	1180-1150-1150	2		10	1	1	1				1	0	
101102		新1-1困难波2	1110-1110-1110-1120-1120	2		10	1	1	1				1	0	
101103		新1-1困难波3	1110-1110-1110-1180-1180	2		10	1	1	1				1	0	
101104		新1-1困难波4	1110-1110-1110-1150-1160-1160	2		10	1	1	1				1	0	1
															
101201		新1-2困难波1	1110-1110-1110-1120	2		10	1	1	1				1	0	
101202		新1-2困难波2	1110-1110-1110-1110-1150-1150	2		10	1	1	1				1	0	
101203		新1-2困难波3	1110-1110-1110-1120-1120	2		10	1	1	1				1	0	
101204		新1-2困难波4	1110-1110-1110-1160-1150	2		10	1	1	1				1	0	1
															
101301		新1-3困难波1	1110-1110-1110-1120	2		10	1	1	1				1	0	
101302		新1-3困难波2	1110-1110-1110-1110-1180	2		10	1	1	1				1	0	
101303		新1-3困难波3	1110-1110-1110-1180	2		10	1	1	1				1	0	
101304		新1-3困难波4	1110-1110-1110-1160-1180	2		10	1	1	1				1	0	1
															
101401		新1-4困难波1	1110-1110-1120	2		10	1	1	1				1	0	
101402		新1-4困难波2	1110-1110-1110-1120-1180	2		10	1	1	1				1	0	
101403		新1-4困难波3	1110-1110-1150-1170	2		10	1	1	1				1	0	
101404		新1-4困难波4	1110-1110-1110-1180-1120-1120	2		10	1	1	1				1	0	1
															
101501		新1-5困难波1	1180-1150-1150	2		10	1	1	1				1	0	
101502		新1-5困难波2	1110-1110-1110-1120-1120	2		10	1	1	1				1	0	
101503		新1-5困难波3	1110-1110-1110-1180-1180	2		10	1	1	1				1	0	
101504		新1-5困难波4	1110-1110-1110-1150-1160-1160	2		10	1	1	1				1	0	1
															
101601		新1-6困难波1	1110-1110-1110-1120	2		11	1	1	1				1	0	
101602		新1-6困难波2	1110-1110-1110-1110-1150-1150	2		11	1	1	1				1	0	
101603		新1-6困难波3	1110-1110-1110-1120-1120	2		11	1	1	1				1	0	
101604		新1-6困难波4	1110-1110-1110-1160-1150	2		11	1	1	1				1	0	1
															
101701		新1-7困难波1	1110-1110-1110-1120	2		11	1	1	1				1	0	
101702		新1-7困难波2	1110-1110-1110-1110-1180	2		11	1	1	1				1	0	
101703		新1-7困难波3	1110-1110-1110-1180	2		11	1	1	1				1	0	
101704		新1-7困难波4	1110-1110-1110-1160-1180	2		11	1	1	1				1	0	1
															
101801		新1-8困难波1	1110-1110-1120	2		11	1	1	1				1	0	
101802		新1-8困难波2	1110-1110-1110-1120-1180	2		11	1	1	1				1	0	
101803		新1-8困难波3	1110-1110-1150-1170	2		11	1	1	1				1	0	
101804		新1-8困难波4	1110-1110-1110-1180-1120-1120	2		11	1	1	1				1	0	1
															
101901		新1-9困难波1	1180-1150-1150	2		11	1	1	1				1	0	
101902		新1-9困难波2	1110-1110-1110-1120-1120	2		11	1	1	1				1	0	
101903		新1-9困难波3	1110-1110-1110-1180-1180	2		11	1	1	1				1	0	
101904		新1-9困难波4	1110-1110-1110-1150-1160-1160	2		11	1	1	1				1	0	1
															
102001		新1-10困难波1	1110-1110-1110-1120	2		11	1	1	1				1	0	
102002		新1-10困难波2	1110-1110-1110-1110-1150-1150	2		11	1	1	1				1	0	
102003		新1-10困难波3	1110-1110-1110-1120-1120	2		11	1	1	1				1	0	
102004		新1-10困难波4	1110-1110-1110-1160-1150	2		11	1	1	1				1	0	1
															
112011	第一章噩梦配置	噩梦新1-1简单波1	1210-1210-1280-1270-1210	2		16	1	1	1				1	0	
