音符ID	音符组ID	音符轨道	音符敲击时间(毫秒)	音符路程时间(毫秒)	音符类型（1单音符，2长音符）	长音符参数（长音符的音符个数）	音符积分（perfect、cool、bad）	音符判定区域（perfect、cool、bad）
id	symbolGroup	pathway	knockTime	processTime	symbolType	longData	score	area
number	number	number	number	number	number	numbers	numbers	numbers
int	int	int	int	int	int	int[]	int[]	int[]
1	101	1	1500	800	1		500-350-150	70-120-150
2	101	5	2000	1200	1		500-350-150	70-120-150
3	101	2	2600	1000	1		500-350-150	70-120-150
4	101	1	3200	1000	1		500-350-150	70-120-150
5	101	1	3400	1000	1		500-350-150	70-120-150
6	101	1	3600	1000	1		500-350-150	70-120-150
7	101	3	4500	800	1		500-350-150	70-120-150
8	101	4	5000	700	1		500-350-150	70-120-150
9	101	2	5500	600	1		500-350-150	70-120-150
10	101	5	6000	1400	1		500-350-150	70-120-150
11	101	5	6200	1400	1		500-350-150	70-120-150
12	101	5	6400	1400	1		500-350-150	70-120-150
13	101	5	6600	1400	1		500-350-150	70-120-150
14	101	3	7800	800	1		500-350-150	70-120-150
15	101	1	8300	800	1		500-350-150	70-120-150
16	101	4	8800	1000	1		500-350-150	70-120-150
17	101	4	8900	1000	1		500-350-150	70-120-150
18	101	1	9400	900	1		500-350-150	70-120-150
19	101	5	9400	900	1		500-350-150	70-120-150
20	101	2	9700	900	1		500-350-150	70-120-150
21	101	4	9700	900	1		500-350-150	70-120-150
