	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	奖励指定精灵游戏资源 格式：精灵id-资源id-数量  目前只支持添加好感度，若后期有其他资源奖励，再做调整 
id	scriptId	datingType	condition	weighting	chance	name	text	textShowType	specTextConfig	textBottom	optionType	jumpConfig	insertPicture	insertPicture1	insertPicture2	insertPicture3	skip	jump	comment	addSign	delSign	modelId1	roleShowType1	roleDisaprType1	action1	isIgonreAction1	face1	emodelId1	expressionAction1	roleLocation1	locOffset1	roleScale1	modelId2	roleShowType2	roleDisaprType2	action2	isIgonreAction2	face2	emodelId2	expressionAction2	roleLocation2	locOffset2	roleScale2	modelId3	roleShowType3	roleDisaprType3	action3	isIgonreAction3	face3	emodelId3	expressionAction3	roleLocation3	locOffset3	roleScale3	windowEfxPara	windowEffects	phonePath	phoneAction	effect	backGround	appear	bgManage	bgScale	bgTime	bgOffset	bgm	bgmSize	voice	roleLipAnime	sceneSoundEffect	soundEffect	cg	cgTime	eventType	score	displayScore	isVisibleUI	autoJump	memory	aside	message	reward	repeatReward	completionTimes	video1	video2	endType	nodeCost	nodeReward	game	gameRules	radText1	radText2	outsideType	outsideUnlock	outsideReward	outsideEnd	outsideRepeat	roleReward
number	number	number	json	number	number	string	string	number	json	number	number	json	json	string	string	string	number	numbers	comment	numbers	numbers	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	number	number	number	string	boolean	string	int	string	number	json	number	numbers	numbers	string	string	string	string	string	number	number	number	json	string	number	string	number	string	string	string	number	number	number	number	number	boolean	boolean	boolean	number	json	json	number	string	string	number	json	json	number	json	string	string	boolean	number	json	json	json	numbers
int	int	int	map	int	int													int[]		int[]	int[]																																																					int	int							map	map	int			int	map	map	int				boolean	int	map	map	map	int[]
1022001	10022	7	{}		100		 	1	{}				{}					1022002													{}											{}											{}							scene/bg/bg_xuexiaodamen.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022002	10022	7	{}		100		给精灵取名为十香的第二天，我像往常一样来到学校上课。	1	{}				{}					1022003													{}											{}											{}												{}	sound/bgm/date_005.mp3	70															{}	{}					{}	{}		{}					{}	{}	{}	
1022003	10022	7	{}		100		 	1	{}				{}					1022004													{}											{}											{}							scene/bg/bg_xuexiaodamen.png	1		1.75	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022004	10022	7	{}		100		看着空荡荡的学校，我不禁为自己的愚蠢叹了口气。	1	{}				{}					1022005													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022005	10022	7	{}		100		早就应该猜到会停课的……昨天学校后方发生了空间震。	1	{}				{}					1022006													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022006	10022	7	{}		100		我漫无目的地走着，等回过神，发现走到了昨天与十香见面的地方。	1	{}				{}					1022007													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022007	10022	7	{}		100		 	1	{}				{}					1022008													{}											{}											{}							scene/bg/bg_pohuaixuexiao2.png	1		1.3	-1	{"x":-171,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
