id	是否使用中	阶段跳转	事件类型（0地点1角色2信息3功能）	绑定类型（0地点1角色）	地点	地点（策划看）	角色	角色（策划看）	角色位置	角色动作	剧本	开始节点id	信息	调用功能	完成规则	是否隐藏	隐藏显示条件（拥有）	隐藏显示条件（不拥有）	消耗时间	限制时间	强制推动时间	完成删除
id	use	stepJump	eventType	bindType	bindBuild	bindBuildDes	bindRole	bindRoleDes	position	action	scriptId	startId	message	game	gameRule	hide	hideCondition1	hideCondition2	costTime	limitTime	addTime	delete
number	boolean	number	number	number	number	comment	number	comment		number	number	number	number	number	json	boolean	json	json	number	string	string	boolean
int	boolean	int	int	int	int	string	int	string		int	int	int	int	int	map	boolean	map	map	int	string	string	boolean
100001	1	100002									100001	15001001				0	{}	{}		09:00:00-09:00:00	11:00:00	1
100101	1	100003	0	0	203	学校1F					100002	15002001				0	{}	{}		11:00:00-12:00:00	12:00:00	1
100102	1		0	0	201	商场					1203001	11203001				0	{}	{}	30	11:00:00-12:00:00		1
100201	1	100004	0	0	106	面包店					100003	15003001				0	{}	{}		12:00:00-14:00:00	14:00:00	1
100202	1		0	0	201	商场					1304001	11304001				0	{}	{}	60	12:00:00-14:00:00		1
100203	1		0	0	206	公园					1105001	11105001				0	{}	{}	30	12:00:00-12:30:00		1
100301	1	100005	0	0	106	面包店					100004	15004001				0	{}	{}		14:00:00-16:00:00	16:00:00	1
100302	1		0	0	202	图书馆					1204001	11204001				0	{}	{}	30	14:00:00-16:00:00		1
100303	1		0	0	205	体育馆					1202001	11202001				0	{}	{}	30	14:00:00-16:00:00		1
100401	1	100006	0	0	201	商场					100005	15005001				0	{}	{}		16:00:00-18:00:00	18:00:00	1
100402	1		1	1	201	商场	410404	狂三校服			1804001	11804001				0	{}	{}	60	16:00:00-18:00:00		1
100501	1	100007	0	0	106	面包店					100006	15006001				0	{}	{}		18:00:00-20:00:00	20:00:00	1
100502	1		0	0	204	学校2F					603001	10603001				0	{}	{}	60	18:00:00-20:00:00		1
100601	1	100008	0	0	206	公园					100007	15007001				0	{}	{}		20:00:00-21:00:00	21:00:00	1
100602	1		0	0	201	商场					2105001	12105001				0	{}	{}	20	20:00:00-21:00:00		1
100701	1		0	0	111	住宅					100008	15008001				0	{}	{}	20	20:00:00-21:00:00		1
110001	1	101001									101001	10101001				0	{}	{}		09:00:00-09:00:00	11:00:00	1
110101	1	101002	1	1	204	学校2F	410104	十香校服			201001	10201001				0	{}	{}		11:00:00-12:00:00	12:00:00	1
110102	1		1	1	205	体育馆	410204	折纸校服			202001	10202001				0	{}	{}	10	11:00:00-12:00:00		1
110103	1		0	0	203	学校1F					203001	10203001				0	{}	{}	10	11:00:00-12:00:00		1
110104	1		2	0	201	商场							204001			0	{}	{}	10	11:00:00-12:00:00		0
110105	1		1	1	201	商场	410504	琴里指挥官			205001	10205001				0	{}	{}	10	11:00:00-12:00:00		1
110106	1		0	0	208	游乐场					206001	10206001				0	{}	{}	10	11:00:00-12:00:00		1
110201	1	101003	1	1	203	学校1F	410104	十香校服			301001	10301001				0	{}	{}		12:00:00-14:00:00	14:00:00	1
110202	1		1	1	204	学校2F	410404	狂三校服			302001	10302001				0	{}	{}	20	12:00:00-14:00:00		1
110203	1		1	1	202	图书馆	410504	琴里指挥官			303001	10303001				0	{}	{}	20	12:00:00-14:00:00		1
110204	1		2	0	201	商场							304001			0	{}	{}	20	12:00:00-14:00:00		0
110205	1		0	0	206	公园					305001	10305001				0	{}	{}	20	12:00:00-14:00:00		1
110301	1	101004	1	1	203	学校1F	410104	十香校服			401001	10401001				0	{}	{}		14:00:00-16:00:00	16:00:00	1
110302	1		1	1	204	学校2F	410204	折纸校服			402001	10402001				0	{}	{}	20	14:00:00-16:00:00		1
110303	1		0	0	204	学校2F					403001	10403001				1	{"sign":[31]}	{}	20	14:00:00-16:00:00		1
110304	1		2	0	201	商场							404001			0	{}	{}	20	14:00:00-16:00:00		0
110401	1	101005	1	1	206	公园	410504	琴里指挥官			501001	10501001				0	{}	{}		16:00:00-18:00:00	18:00:00	1
110402	1		1	1	203	学校1F	410204	折纸校服			502001	10502001				0	{}	{}	30	16:00:00-18:00:00		1
110403	1		0	0	104	花店					503001	10503001				0	{}	{}	30	16:00:00-18:00:00		1
110501	1	101006	1	1	106	面包店	410404	狂三校服			601001	10601001				0	{}	{}		18:00:00-20:00:00	20:00:00	1
110502	1		1	1	107	饮品店	410204	折纸校服			602001	10602001				1	{"sign":[51]}	{}	30	18:00:00-20:00:00		1
110503	1		0	0	203	学校1F					603001	10603001				0	{}	{}	30	18:00:00-20:00:00		1
110504	1		0	0	205	体育馆					604001	10604001				0	{}	{}	30	18:00:00-20:00:00		1
110601	1	101007	0	0	201	商场					701001	10701001				0	{}	{}		20:00:00-21:00:00	21:00:00	1
110602	1		1	1	201	商场	410303	四糸乃休闲装			702001	10702001				0	{"sign":[542012]}	{}	10	20:00:00-21:00:00		1
110603	1		1	1	201	商场	410303	四糸乃休闲装			703001	10703001				1	{"sign":[542012]}	{}	20	20:00:00-21:00:00		1
110604	1		1	1	105	豪华餐厅	410204	折纸校服			704001	10704001				1	{"sign":[61]}	{}	20	20:00:00-21:00:00		1
110701	1	101008	1	1	105	豪华餐厅	410104	十香校服			801001	10801001				0	{}	{}		21:00:00-21:00:00	09:00:00	1
110801	1	101009	1	1	111	住宅	410504	琴里指挥官			901001	10901001				0	{}	{}		09:00:00-11:00:00	11:00:00	1
110901	1	101010	0	0	206	公园					1001001	11001001				0	{}	{}		11:00:00-12:00:00	12:00:00	1
110902	1		0	0	107	饮品店					1002001	11002001				0	{"orsign":[[102],[103]]}	{}	10	11:00:00-12:00:00		1
110903	1		0	0	107	饮品店					1003001	11003001				1	{"sign":[101]}	{}	10	11:00:00-12:00:00		1
110904	1		0	0	106	面包店					1004001	11004001				0	{"orsign":[[101],[103]]}	{}	10	11:00:00-12:00:00		1
110905	1		0	0	106	面包店					1005001	11005001				1	{"sign":[102]}	{}	10	11:00:00-12:00:00		1
110906	1		0	0	105	豪华餐厅					1006001	11006001				0	{"orsign":[[101],[102]]}	{}	10	11:00:00-12:00:00		1
110907	1		0	0	105	豪华餐厅					1007001	11007001				1	{"sign":[103]}	{}	10	11:00:00-12:00:00		1
111001	1	101011	1	1	105	豪华餐厅	410504	琴里指挥官			1101001	11101001				0	{"sign":[52]}	{}		12:00:00-14:00:00	14:00:00	1
111002	1	101011	1	1	105	豪华餐厅	410504	琴里指挥官			1102001	11102001				1	{"sign":[52]}	{}		12:00:00-14:00:00	14:00:00	1
111003	1		0	0	104	花店					1103001	11103001				0	{"sign":[52]}	{}	10	12:00:00-14:00:00		1
111004	1		2	0	201	商场							1104001			0	{"sign":[52]}	{}	10	12:00:00-14:00:00		0
111005	1		0	0	207	神社					1105001	11105001				0	{}	{}	10	12:00:00-14:00:00		1
111006	1		0	0	111	住宅					1106001	11106001				0	{}	{}	10	12:00:00-14:00:00		1
111101	1	101012	1	1	105	豪华餐厅	410104	十香校服			1201001	11201001				0	{}	{}		14:00:00-16:00:00	16:00:00	1
111102	1		0	0	205	体育馆					1202001	11202001				0	{}	{}	20	14:00:00-16:00:00		1
111103	1		0	0	201	商场					1203001	11203001				0	{}	{}	20	14:00:00-16:00:00		1
111104	1		0	0	202	图书馆					1204001	11204001				0	{}	{}	20	14:00:00-16:00:00		1
111201	1	101013	0	0	111	住宅					1301001	11301001				0	{}	{}		16:00:00-18:00:00	18:00:00	1
111202	1		1	1	105	豪华餐厅	410303	四糸乃休闲装			1302001	11302001				1	{"sign":[71]}	{}	20	16:00:00-18:00:00		1
111203	1		0	0	105	豪华餐厅					1303001	11303001				1	{"items":{542013:1}}	{}	20	16:00:00-18:00:00		1
111204	1		0	0	201	商场					1304001	11304001				0	{}	{}	20	16:00:00-18:00:00		1
111301	1	101014	1	1	207	神社	410303	四糸乃休闲装			1401001	11401001				0	{}	{}		18:00:00-20:00:00	20:00:00	1
111302	1		1	1	208	游乐场	410504	琴里指挥官			1402001	11402001				0	{}	{}	10	18:00:00-20:00:00		1
111303	1		0	0	208	游乐场					1403001	11403001				1	{"sign":[141]}	{}	10	18:00:00-20:00:00		1
111304	1		0	0	208	游乐场					1404001	11404001				1	{"sign":[542021]}	{}	10	18:00:00-20:00:00		1
111305	1		0	0	103	玩偶店					1405001	11405001				1	{"sign":[112]}	{}	20	18:00:00-20:00:00		1
111306	1		0	0	103	玩偶店					1406001	11406001				1	{"sign":[143]}	{}	20	18:00:00-20:00:00		1
111307	1		1	1	206	公园	410303	四糸乃休闲装			1407001	11407001				1	{"sign":[21]}	{}	20	18:00:00-20:00:00		1
111401	1	101015	1	1	207	神社	410404	狂三校服			1501001	11501001				0	{}	{}		20:00:00-21:00:00	21:00:00	1
111402	1		0	0	201	商场					1502001	11502001				0	{}	{}	10	20:00:00-21:00:00		1
111403	1		1	1	206	公园	410204	折纸校服			1503001	11503001				1	{"sign":[151]}	{}	10	20:00:00-21:00:00		1
111404	1		2	0	201	商场							1504001			1	{"sign":[152]}	{}	10	20:00:00-21:00:00		0
111405	1		1	1	111	住宅	410504	琴里指挥官			1505001	11505001				1	{"items":{542014:1}}	{}	10	20:00:00-21:00:00		1
111501	1	101016	1	1	105	豪华餐厅	410104	十香校服			1601001	11601001				0	{}	{}		21:00:00-21:00:00	09:00:00	1
111601	1	101017	1	1	208	游乐场	410104	十香校服			1701001	11701001				0	{}	{}		09:00:00-12:00:00	12:00:00	1
111602	1		0	0	208	游乐场					1702001	11702001				0	{}	{}	30	09:00:00-12:00:00		1
111603	1		0	0	208	游乐场					1703001	11703001				1	{"sign":[171]}	{}	30	09:00:00-12:00:00		1
111701	1	101018	1	1	106	面包店	410104	十香校服			1801001	11801001				0	{}	{}		12:00:00-14:00:00	14:00:00	1
111702	1		0	0	107	饮品店					1802001	11802001				1	{"sign":[172]}	{}	20	12:00:00-14:00:00		1
111703	1		0	0	111	住宅					1803001	11803001				1	{"sign":[173]}	{}	20	12:00:00-14:00:00		1
