id	所属看板娘	图鉴类型（10.CG，103.事件，8.礼物，4.时装）	排序	CG	事件ID	事件名称	事件注释	礼物	时装
id	roleId	pokdexType	order	cgId	eventId	eventTitle	eventDesc	giftId	dressId
number	number	number	number	number	number	string	string	number	number
int	int	int	int	int	int	string	string	int	int
1	101	10	1	540081	0	0	910101	0	0
2	101	10	2	540082	0	0	910102	0	0
3	101	10	3	540083	0	0	910103	0	0
4	101	10	4	540084	0	0	910104	0	0
5	101	10	5	540085	0	0	910105	0	0
6	101	10	6	540006	0	0	0	0	0
7	101	10	7	540019	0	0	0	0	0
8	101	10	8	540040	0	0	0	0	0
9	101	10	9	540045	0	0	0	0	0
10	101	10	10	540046	0	0	0	0	0
11	101	10	11	540047	0	0	0	0	0
12	101	10	12	540081	0	0	0	0	0
13	101	10	13	540082	0	0	0	0	0
14	101	10	14	540083	0	0	0	0	0
15	101	10	15	540084	0	0	0	0	0
16	101	10	16	540085	0	0	0	0	0
17	101	103	17	0	18	1701001	1701002	0	0
18	101	103	18	0	13	1701011	1701012	0	0
19	101	103	19	0	47	1701013	1701014	0	0
20	102	10	20	540086	0	0	910201	0	0
21	102	10	21	540087	0	0	910202	0	0
22	102	10	22	540088	0	0	910203	0	0
23	102	10	23	540089	0	0	910204	0	0
24	102	10	24	540035	0	0	0	0	0
25	102	10	25	540041	0	0	0	0	0
26	102	10	26	540043	0	0	0	0	0
27	102	10	27	540086	0	0	0	0	0
28	102	10	28	540087	0	0	0	0	0
29	102	10	29	540088	0	0	0	0	0
30	102	10	30	540089	0	0	0	0	0
31	102	103	31	0	48	1701015	1701016	0	0
32	103	10	32	540007	0	0	0	0	0
33	103	10	33	540008	0	0	0	0	0
34	103	10	34	540009	0	0	0	0	0
35	103	10	35	540010	0	0	0	0	0
36	103	10	36	540011	0	0	0	0	0
37	103	10	37	540012	0	0	0	0	0
38	103	10	38	540027	0	0	0	0	0
39	103	10	39	540028	0	0	0	0	0
40	103	103	40	0	19	1701003	1701004	0	0
41	103	103	41	0	49	1701017	1701018	0	0
42	103	103	42	0	50	1701019	1701020	0	0
43	104	10	43	540090	0	0	910401	0	0
44	104	10	44	540091	0	0	910402	0	0
45	104	10	45	540031	0	0	0	0	0
46	104	10	46	540032	0	0	0	0	0
47	104	10	47	540033	0	0	0	0	0
48	104	10	48	540034	0	0	0	0	0
49	104	10	49	540042	0	0	0	0	0
50	104	10	50	540090	0	0	0	0	0
51	104	10	51	540091	0	0	0	0	0
52	104	103	52	0	20	1701005	1701006	0	0
53	104	103	53	0	51	1701021	1701022	0	0
54	104	103	54	0	52	1701023	1701024	0	0
55	105	10	55	540092	0	0	910501	0	0
56	105	10	56	540093	0	0	910502	0	0
57	105	10	57	540094	0	0	910503	0	0
58	105	10	58	540039	0	0	0	0	0
59	105	10	59	540020	0	0	0	0	0
60	105	10	60	540021	0	0	0	0	0
61	105	10	61	540022	0	0	0	0	0
62	105	10	62	540023	0	0	0	0	0
63	105	10	63	540024	0	0	0	0	0
64	105	10	64	540044	0	0	0	0	0
65	105	10	65	540092	0	0	0	0	0
66	105	10	66	540093	0	0	0	0	0
67	105	10	67	540094	0	0	0	0	0
68	105	103	68	0	21	1701007	1701008	0	0
69	105	103	69	0	22	1701009	1701010	0	0
