顺序ID	功能ID（作战1.主线2.日常3.精灵4.活动11.打工12.打工商店21.普通商店22.碎片商店23.灵装商店 24充值和礼包）	看板娘类型（0.固定看板娘1.玩家看板娘2.打工看板娘）	看板娘模型	对话内容	缩放值
id	place	roleType	roleModle	text	modelSize
number	number	number	number	json	number
int	int	int	number	json	int
1	1	1	0	{101:[1000101,1000102,1000103,1000104,1000105],103:[1000106,1000107,1000108,1000109,1000110],102:[1000111,1000112,1000113,1000114,1000115],104:[1000116,1000117,1000118,1000119,1000120],105:[1000121,1000122,1000123,1000124,1000125]}	0.5
2	2	1	0	{101:[1000101,1000102,1000103,1000104,1000105],103:[1000106,1000107,1000108,1000109,1000110],102:[1000111,1000112,1000113,1000114,1000115],104:[1000116,1000117,1000118,1000119,1000120],105:[1000121,1000122,1000123,1000124,1000125]}	0.5
3	3	1	0	{101:[1000101,1000102,1000103,1000104,1000105],103:[1000106,1000107,1000108,1000109,1000110],102:[1000111,1000112,1000113,1000114,1000115],104:[1000116,1000117,1000118,1000119,1000120],105:[1000121,1000122,1000123,1000124,1000125]}	0.5
4	4	1	0	{101:[1000101,1000102,1000103,1000104,1000105],103:[1000106,1000107,1000108,1000109,1000110],102:[1000111,1000112,1000113,1000114,1000115],104:[1000116,1000117,1000118,1000119,1000120],105:[1000121,1000122,1000123,1000124,1000125]}	0.5
5	11	2	0	{101:[1000501,1000502,1000503,1000504,1000505],103:[1000506,1000507,1000508,1000509,1000510],102:[1000511,1000512,1000513,1000514,1000515],104:[1000516,1000517,1000518,1000519,1000520],105:[1000521,1000522,1000523,1000524,1000525]}	0.6
6	12	1	0	{101:[1000601,1000602,1000603,1000604,1000605],103:[1000606,1000607,1000608,1000609,1000610],102:[1000611,1000612,1000613,1000614,1000615],104:[1000616,1000617,1000618,1000619,1000620],105:[1000621,1000622,1000623,1000624,1000625]}	0.6
7	21	1	0	{101:[1000701,1000702,1000703,1000704,1000705],103:[1000706,1000707,1000708,1000709,1000710],102:[1000711,1000712,1000713,1000714,1000715],104:[1000716,1000717,1000718,1000719,1000720],105:[1000721,1000722,1000723,1000724,1000725]}	0.6
8	22	1	0	{101:[1000901,1000902,1000903,1000904,1000905],103:[1000906,1000907,1000908,1000909,1000910],102:[1000911,1000912,1000913,1000914,1000915],104:[1000916,1000917,1000918,1000919,1000920],105:[1000921,1000922,1000923,1000924,1000925]}	0.6
9	23	1	0	{101:[1000901,1000902,1000903,1000904,1000905],103:[1000906,1000907,1000908,1000909,1000910],102:[1000911,1000912,1000913,1000914,1000915],104:[1000916,1000917,1000918,1000919,1000920],105:[1000921,1000922,1000923,1000924,1000925]}	0.6
10	24	1	0	{101:[1000901,1000902,1000903,1000904,1000905],103:[1000906,1000907,1000908,1000909,1000910],102:[1000911,1000912,1000913,1000914,1000915],104:[1000916,1000917,1000918,1000919,1000920],105:[1000921,1000922,1000923,1000924,1000925]}	0.6
