ID	所属技能	名字	包含特效	技能类型	动作ID	动作基础速度（基础为10000表示100%正常速度）	动作是否受攻速加成（0不受，1受）	帧事件触发	帧事件触发技能	自动动作	动作是否霸体	检测方向键	检测高度	动作循环	循环结束时间判定（0根据动作循环时间，1位移结束）	动作循环时间（毫秒）	位移方式（0固定位移，1摇杆位移，2向目标位移）	位移开始帧事件	位移XY类型（0允许XY任意位移，1只能做X位移，2只能做Y位移）	动作位移XY	动作位移Z高度	位移速度	目标（1：友方，2：敌方）	目标位置偏移（XZ值，Y值影子位置默认会保持一致）	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	目标选择条件（0无，1最近，2最远，6随机）	修正摄像机位置（[[时间，镜头参数],[时间，镜头参数]……]。-1表示随动作时间）	招架方向(0无效，1前方，2后方，3前后两方)	招架触发技能（直接配置技能ID）
id	host	name	includeEffect	skillType	action	actionSpeed	speedAddition	frameEvents	eventsSkill	connectAction	actionHard	checkDirect	checkDrop	loop	loopEndType	loopTime	moveType	moveEvents	actionMoveType	actionMoveX	actionMoveY	moveSpeed	target	fixTarget	area	cond	fixCamerZ	withstandDirection	withstandSkill
number	number	string	numbers	number	string	number	boolean	strings	strings	number	boolean	boolean	boolean	boolean	number	number	number	strings	number	number	number	number	number	string	string	number	json	number	number
int	int	string	int[]	int	string	int	boolean	strings	strings	int	boolean	boolean	boolean	boolean	int	int	int	strings	int	int	int	int	int	string	string	int	lsit	int	int
101	100110	十香—普攻1	10010	1	skillA_1	10000	1	next1_down_102				1	0	0	0				1	30		100	2		0_-25_500_50				
102	100110	十香—普攻2	10020	1	skillA_2	10000	1	next1_down_103				1	0	0	0				1	30		300	2		0_-25_500_50				
103	100110	十香—普攻3	10030	1	skillA_3	10000	1					1	0	0	0				1	80		300	2		0_-25_500_50		[[-1,50]]		
104	100110	十香—普攻4	10040	1	skillA_4	10000	1					1	0	0	0				1	30		300	2		0_-25_500_50				
105	100110	十香—普攻5	10050	1	skillA_5	10000	1					1	0	0	0				1	100		500	2		0_-25_500_50		[[-1,50]]		
110	100110	十香(旧)—剑气		1	skillA_4	10000						1	0	0	0					0		0	2		0_-25_500_50				
111	100110	十香(旧)—分支—挑空连斩1	10090	1	skillC_1	10000	1	next1_up_501		106	1	1	0	0	0			move	1	30	40	300	2		0_-25_500_50		[[-1,80]]		
112	100110	十香(旧)—分支—挑空连斩2	10100	1	skillC_2	10000	1	next1_up_501		107	1	1	0	0	0			move	1	20	40	300	2		0_-25_500_50		[[-1,80]]		
113	100110	十香(旧)—分支—挑空连斩3	10110	1	skillC_3	10000	1	next1_up_501		108	1	1	0	0	0			move	1	20	40	250	2		0_-25_500_50		[[-1,80]]		
114	100110	十香(旧)—分支—挑空连斩4	10120	1	skillC_4	10000	1	next1_up_501		109	1	1	0	0	0			move	1	20	35	250	2		0_-25_500_50		[[-1,80]]		
115	100110	十香(旧)—分支—挑空连斩5	10130	1	skillC_5	10000	1			501	1	1	0	0	0			move	1	0		0	2		0_-25_500_50		[[-1,80]]		
202	100120	十香—剑刃乱舞	10310-10410	1	skillB_1	10000				203	1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
203	100120	十香—剑刃乱舞	10320-10420	1	skillB_2	10000				204	1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
204	100120	十香—剑刃乱舞	10330-10430	1	skillB_3	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
205	100120	十香—剑刃乱舞	10340-10440	1	skillB_4	10000				206	1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
206	100120	十香—剑刃乱舞	10350-10450	1	skillB_5	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
207	100120	十香—剑刃乱舞	10360-10460	1	skillB_6	10000				208	1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
208	100120	十香—剑刃乱舞	10370-10470	1	skillB_7	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
209	100120	十香—剑刃乱舞	10380-10390-10400-10480-10490-10491-10492-10493-10494	1	skillB_8	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[200,-80]]		
300	100130	十香—觉醒-最终之剑	10150-10160-10170-10180-10190-10191	1	skillD11	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,160]]		
311	100131	十香校服—觉醒-最终之剑	10150-10160-10170-10180-10190-10191	1	skillD11	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,160]]		
316	100132	十香生日—觉醒-最终之剑	10150-10160-10170-10180-10190-10191	1	skillD11	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,160]]		
401	100140	十香—闪避	10200	1	dodge	10000						1	1	1	1				0	250		900	2		0_-25_500_50				
402	100140	十香(旧)—闪避-斩	10201-10202	1	dodge2	10000						1	1	0	0					300		1000	2		0_-25_500_50				
501	100150	十香—下落1		1	fall	10000					1	0	1	1	1					0		400	1		0_-25_500_50				
601	100180	十香—技能1-蓄力1段	10500	1	extra_skillB_1	10000		next1_up_701-next2_up_701-next3_up_701-next4_up_701-next5_up_701		602		1	0	1	0	1000				0		0	2		0_-25_500_50		[[-1,-50]]		
602	100180	十香—技能1-蓄力2段	10501	1	extra_skillB_1	10000		next1_up_702-next2_up_702-next3_up_702-next4_up_702-next5_up_702		703		1	0	1	0	1000				0		0	2		0_-25_500_50		[[-1,-50]]		
603	100180	十香—技能1-蓄力3段	10502	1	extra_skillB_1	10000		next1_up_703-next2_up_703-next3_up_703-next4_up_703-next5_up_703		704		1	0	1	0	1000				0		0	2		0_-25_500_50		[[-1,-50]]		
701	100180	十香—蓄力剑气0段	10510	1	extra_skillB_3	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
702	100180	十香—蓄力剑气1段	10511	1	extra_skillB_3	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
703	100180	十香—蓄力剑气2段	10512-10520-10521	1	extra_skillB_3	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
704	100180	十香—蓄力剑气3段	10513-10514-10520-10521-10522-10523	1	extra_skillB6	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
705	100180	十香—蓄力剑气3段+	10515-10516-10517-10520-10521-10522-10523-10524-10525	1	extra_skillB5	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
801	100160	十香—出场-王座	10540-10550-10551	1	skillF	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
1001	100190	十香—技能2-0级	10590	1	extra_skillC_3	7000	1					1	0	0	0		0	move	1	100		600	1		0_-25_500_50		[[-1,60]]		
1002	100190	十香—技能2-1级	10591	1	extra_skillC_1	10000	1			1003		1	0	0	0		0	move	1	30		600	1		0_-25_500_50		[[-1,60]]		
1003	100190	十香—技能2-1级	10592	1	extra_skillC_3	10000	1					1	0	0	0		0	move	1	100		600	1		0_-25_500_50		[[-1,60]]		
1004	100190	十香—技能2-2级	10593	1	extra_skillC_1	10000	1			1005		1	0	0	0		0	move	1	30		600	1		0_-25_500_50		[[-1,60]]		
1005	100190	十香—技能2-2级	10594	1	extra_skillC_2	10000	1			1006		1	0	0	0		0	move	1	60		600	1		0_-25_500_50		[[-1,60]]		
1006	100190	十香—技能2-2级	10595	1	extra_skillC_3	10000	1					1	0	0	0		0	move	1	100		600	1		0_-25_500_50		[[-1,60]]		
1007	100190	十香—技能2-3级	10596	1	extra_skillC_1	10000	1			1008		1	0	0	0		0	move	1	30		600	1		0_-25_500_50		[[-1,60]]		
1008	100190	十香—技能2-3级	10597	1	extra_skillC_2	10000	1			1009		1	0	0	0		0	move	1	60		600	1		0_-25_500_50		[[-1,60]]		
1009	100190	十香—技能2-3级	10598	1	extra_skillC_3	10000	1					1	0	0	0		0	move	1	100		600	1		0_-25_500_50		[[-1,60]]		
																													
																													
