ID	策划看	防御特效资源	防御动画	防御音效	触发类型(1吸收伤害，2格挡，3招架)	指定角色（配置HeroSkin中的ID）
id	dec	defenseEffect	defenseAction	defenseMusic	triggerType	appointRole
number	string	string	string	string	number	numbers
int	string	string	string	string	int	int[]
1	所有角色：格挡表现	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	2	1101011-1101012-1101013-1101031-1102011-1103011-1104011-1105011-1106011-1106012-1107011-1108011-1109011-1110011
2	十香灵装	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1101011
3	十香校服	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1101012
4	十香生日	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1101013
5	反转十香	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1101031
6	AST1折纸	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1102011
7	四糸乃	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1103011
8	狂三	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1104011
9	琴里	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1105011
10	DEM真那	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1106011
11	猫娘真那	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1106012
12	耶俱矢	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1107011
13	夕弦	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1108011
14	艾伦	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1109011
15	美九	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	1	1110011
16	艾伦：招架表现	effects_10101_skillE2	effects_skillE2	sound/battle_sound/defense.mp3	3	1109011
