id	所属玩法id	显示模块（1.幸运精灵 2.幸运灵装 3.综合概率 4.详细概率 5.广告）	模块名	显示顺序	幸运物品	文本（描述-概率）	备注	是否up	广告icon
id	summonType	type	typeName	order	items	name	name2	up	adIcon
number	number	number	string	number	numbers	numbers	comment	boolean	string
int	int	int	string	int	int[]	int[]	comment	boolean	string
1	1	3	1200009	1		1210001-1.6	S级精灵		
2	1	3		3		1210003-3	AA级精灵		
3	1	3		4		1210004-4.8	A级精灵		
4	1	3		5		1210005-4	S级精灵碎片		
5	1	3		7		1210007-5.4	AA级精灵碎片		
6	1	3		8		1210008-6	A级精灵碎片		
7	1	3		9		1210009-2.7	5星套装质点		
8	1	3		10		1210010-5	5星普通质点		
9	1	3		11		1210011-10	4星质点		
10	1	3		12		1210012-14	3星质点		
11	1	3		13		1210013-12	质点经验材料		
12	1	3		14		1210014-13.5	金币卡		
13	1	3		15		1210015-18	经验卡		
14	1	4	1200010	1		1220001-0.9	【天神】质点套装之一		
15	1	4		2		1220002-0.9	【战姬】质点套装之一		
16	1	4		3		1220003-0.9	【圣灵】质点套装之一		
17	1	4		4		1220004-3	十香碎片		
18	1	4		5		1220005-3	真那碎片（DEM）		
19	1	4		6		1220006-1.8	耶俱矢碎片		
20	1	4		7		1220007-1.8	夕弦碎片		
21	1	4		8		1220008-1.8	美九碎片		
22	1	4		9		1220009-1	琴里碎片		
23	1	4		10		1220010-1	狂三碎片		
24	1	4		11		1220011-1	爱莲碎片（DEM）		
25	1	4		12		1220012-1	十香碎片（反转）		
26	1	4		13		1220013-2.4	崇宫真那（DEM）		
27	1	4		14		1220014-2.4	夜刀神十香		
28	1	4		15		1220015-1	八舞耶俱矢		
29	1	4		16		1220016-1	八舞夕弦		
30	1	4		17		1220017-1	诱宵美九		
31	1	4		18		1220018-0.4	五河琴里		
32	1	4		19		1220019-0.4	时崎狂三		
33	1	4		20		1220020-0.4	夜刀神十香（反转）		
34	1	4		21		1220021-0.4	爱莲玛瑟斯（DEM）		
35	4	3	1200009	1		1214001-0.2	A级精灵		
36	4	3		2		1214002-0.3	B级精灵		
37	4	3		3		1214003-2.5	A级精灵碎片		
38	4	3		4		1214004-3	B级精灵碎片		
39	4	3		5		1214005-5	3星质点		
40	4	3		6		1214006-25	2星质点		
41	4	3		7		1214007-8	质点经验材料		
42	4	3		8		1214008-25	金币卡		
43	4	3		9		1214009-31	经验卡		
