id	任务描述	任务描述2	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	日常任务开放等级	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
id	des	des2	type	playerLevel	resetType	subType	order	name	name2	icon	colour1	colour2	comment	typeDes	acceptCondId	acceptParams	finishCondId	finishParams	progress	reward	des3	jumpInterface	completeResult	extendsTaskId	open	effectiveTime
number	string	comment	number	numbers	number	number	number	string	comment	string	json	json	comment	string	number	json	number	json	number	vjson	comment	number	number	number	boolean	number
int			int	int[]	int	int									int	map	int	map	int	map				int	boolean	int
10001			5	1-60	2	2	1		30活跃						10001	{"plvl":1}	2003	{"itemId":500014}	30	{500001:2000,510101:5}			2		1	-1
10002			5	1-60	2	2	2		50活跃						10001	{"plvl":1}	2003	{"itemId":500014}	50	{500001:3000,510102:3}			2		1	-1
10003			5	1-60	2	2	3		80活跃						10001	{"plvl":1}	2003	{"itemId":500014}	80	{500002:5,570001:20}			2		1	-1
10004			5	1-60	2	2	4		100活跃						10001	{"plvl":1}	2003	{"itemId":500014}	100	{500002:10,570002:5}			2		1	-1
10005			5	1-60	2	2	5		120活跃						10001	{"plvl":1}	2003	{"itemId":500014}	120	{500002:15,570032:1}			2		1	-1
110101	1320001	普通第1卷1-1	1		1	1	1	1310001	末路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}	紫色	1330001	10001	{"plvl":1}	9007	{"dunId":101101}	1	{500005:5,500001:200}		16	1		1	-1
110102	1320001	普通第1卷1-2	1		1	1	2	1310002	末路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330001	10001	{"pre_task_id":110101}	9007	{"dunId":101102}	1	{500005:5,500001:200}		16	1		1	-1
110103	1320001	普通第1卷1-3	1		1	1	3	1310003	末路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330001	10001	{"pre_task_id":110102}	9007	{"dunId":101103}	1	{500005:5,500001:200}		16	1		1	-1
110104	1320001	普通第1卷1-4	1		1	1	4	1310004	末路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330001	10001	{"pre_task_id":110103}	9007	{"dunId":101104}	1	{500005:5,500001:200}		16	1		1	-1
110105	1320001	普通第1卷2-5	1		1	1	5	1310005	末路人十香	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330001	10001	{"pre_task_id":110104}	9007	{"dunId":101105}	1	{500005:5,500001:200}		16	1		1	-1
110106	1320001	普通第1卷2-6	1		1	1	6	1310006	末路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}	绿色	1330001	10001	{"pre_task_id":110105}	9007	{"dunId":101206}	1	{500005:5,500001:200}		16	1		1	-1
110107	1320001	普通第1卷2-7	1		1	1	7	1310007	末路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110106}	9007	{"dunId":101207}	1	{500005:5,500001:200}		16	1		1	-1
110108	1320001	普通第1卷2-8	1		1	1	8	1310008	末路人十香	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110107}	9007	{"dunId":101208}	1	{500005:5,500001:200}		16	1		1	-1
