ID	分类	对应看板娘	对应精灵	配音路径	备注（策划看）
id	type	role	hero	voice	des
number	string	number	number	json	string
int	string	int	int	map	string
101001	hero_get		110101	["sound/role/shixiang/TOUKA_24.mp3"]	获得角色1
101002	button_dating	101		["sound/role/shixiang/TOUKA_16.mp3"]	点击约会按钮
101003	dating_complete	101		["sound/role/shixiang/TOUKA_53.mp3"]	约会结束-成功
101004	hidden_end	101		["sound/role/shixiang/TOUKA_54.mp3"]	约会结束-hidden end
101005	good_end	101		["sound/role/shixiang/TOUKA_55.mp3"]	约会结束-happy、good
101006	bad_end	101		["sound/role/shixiang/TOUKA_56.mp3"]	约会结束-normal、bad
101007	dating_invite_yes	101		["sound/role/shixiang/TOUKA_57.mp3"]	预定约会-接受邀请
101008	dating_invite_no	101		["sound/role/shixiang/TOUKA_58.mp3"]	预定约会-拒绝邀请
101009	button_dress	101		["sound/role/shixiang/TOUKA_59.mp3"]	进入换装
101010	dress_low	101		["sound/role/shixiang/TOUKA_23.mp3"]	换上服装-一般
101011	dress_high	101		["sound/role/shixiang/TOUKA_61.mp3"]	换上服装-高级
101012	button_gift	101		["sound/role/shixiang/TOUKA_62.mp3"]	进入送礼
101013	gifts_wait	101		["sound/role/shixiang/TOUKA_63.mp3"]	等待送礼
101014	food_high	101		["sound/role/shixiang/TOUKA_19.mp3"]	喜爱食物
101015	food_low	101		["sound/role/shixiang/TOUKA_20.mp3"]	一般食物
101016	gift_high	101		["sound/role/shixiang/TOUKA_21.mp3"]	喜爱礼物
101017	gift_low	101		["sound/role/shixiang/TOUKA_22.mp3"]	一般礼物
101018	favor_up	101		["sound/role/shixiang/TOUKA_17.mp3"]	好感度等级提升
101019	ability_up		110101	["sound/role/shixiang/TOUKA_64.mp3"]	等级/星级提升
101020	change_kanban	101		["sound/role/shixiang/TOUKA_65.mp3"]	切换看板娘
101021	change_hero		110101	["sound/role/shixiang/TOUKA_66.mp3"]	切换精灵
101022	change_equip	101		["sound/role/shixiang/TOUKA_67.mp3"]	更换灵装
101023	battle_play		110101	["sound/role/shixiang/TOUKA_68.mp3"]	上阵
101024	mood_sad	101		["sound/role/shixiang/TOUKA_13.mp3"]	看板娘处于无聊、生气、饥饿状态
101025	mood_normal	101		["sound/role/shixiang/TOUKA_14.mp3"]	在城市点击看板娘模型1
101026	mian_morning	101		["sound/role/shixiang/TOUKA_88.mp3"]	进入主界面-早上
101027	mian_afternoon	101		["sound/role/shixiang/TOUKA_89.mp3"]	进入主界面-下午
101028	mian_night	101		["sound/role/shixiang/TOUKA_90.mp3"]	进入主界面-晚上
101029	mian_dawn	101		["sound/role/shixiang/TOUKA_91.mp3"]	进入主界面-凌晨
101030	spring	101		["sound/role/shixiang/TOUKA_114.mp3"]	温泉功能
101031	hero_get		110102	["sound/role/shixiang/TOUKA_25.mp3"]	获得角色1
101032	button_dating				点击约会按钮
101033	dating_complete				约会结束-成功
101034	hidden_end				约会结束-hidden end
101035	good_end				约会结束-happy、good
101036	bad_end				约会结束-normal、bad
101037	dating_invite_yes				预定约会-接受邀请
101038	dating_invite_no				预定约会-拒绝邀请
101039	button_dress				进入换装
101040	dress_low				换上服装-一般
101041	dress_high				换上服装-高级
101042	button_gift				进入送礼
101043	gifts_wait				等待送礼
101044	food_high				喜爱食物
101045	food_low				一般食物
101046	gift_high				喜爱礼物
101047	gift_low				一般礼物
101048	favor_up				好感度等级提升
101049	ability_up		110102	["sound/role/shixiang/TOUKA_221.mp3"]	等级/星级提升
101050	change_kanban				切换看板娘
101051	change_hero		110102	["sound/role/shixiang/TOUKA_222.mp3"]	切换精灵
101052	change_equip				更换灵装
101053	battle_play		110102	["sound/role/shixiang/TOUKA_223.mp3"]	上阵
101054	mood_sad				看板娘处于无聊、生气、饥饿状态
101055	mood_normal				在城市点击看板娘模型1
101056	mian_morning				进入主界面-早上
101057	mian_afternoon				进入主界面-下午
101058	mian_night				进入主界面-晚上
101059	mian_dawn				进入主界面-凌晨
101060	spring				温泉功能
101061	hero_get		110103	["sound/role/shixiang/TOUKA_HENTEN_01.mp3"]	获得角色1
101062	button_dating				点击约会按钮
101063	dating_complete				约会结束-成功
101064	hidden_end				约会结束-hidden end
101065	good_end				约会结束-happy、good
101066	bad_end				约会结束-normal、bad
101067	dating_invite_yes				预定约会-接受邀请
101068	dating_invite_no				预定约会-拒绝邀请
101069	button_dress				进入换装
101070	dress_low				换上服装-一般
101071	dress_high				换上服装-高级
101072	button_gift				进入送礼
101073	gifts_wait				等待送礼
101074	food_high				喜爱食物
101075	food_low				一般食物
101076	gift_high				喜爱礼物
101077	gift_low				一般礼物
101078	favor_up				好感度等级提升
101079	ability_up		110103	["sound/role/shixiang/TOUKA_239.mp3"]	等级/星级提升
101080	change_kanban				切换看板娘
